GROUP,ID,VAT1,TXNDC5,TUBB4B,TOM1,TOLLIP,TMEM30A,TMC6,TCIRG1,SYNGR1,SVIP,STXBP2,STK11IP,SLPI,SLC27A2,SERPINB6,S100P,S100A9,RAB4B,RAB24,QSOX1,PYGB,PYCARD,PTPRN2,PTPN6,PTGES2,PSMC3,PSMB1,PSMA2,PRKCD,PPIE,PKP1,PGRMC1,PGM1,PFKL,PDXK,PDAP1,ORMDL3,NME2,NIT2,NDUFC2,NBEAL2,NAPRT,MVP,MLEC,MIF,METTL7A,MAN2B1,LTF,LRG1,LAMTOR1,LAMP1,JUNB,JUN,IMPDH2,IMPDH1,HSPA1B,HSPA1A,HMOX2,GUSB,GSTP1,GSDMD,GALNS,GAA,FUCA1,FOS,ENPP4,EEF2,DPP7,DNASE1L1,DNAJC5,DGAT1,DDOST,DBNL,CYBA,CXCL8,CTSH,CTSD,CST3,COMMD3,CKAP4,CEP290,CD59,CD14,CAT,CANT1,ATP8B4,ATP6V0C,APRT,APEH,AP2A2,ANPEP,AMPD3,ALDOC,ALDH3B1,AGPAT2,AGA,ACTR1B,ACAA1,ABCA13
A,279,4,31,75,30,12,60,14,45,1,13,48,34,53,17,0,33,125,4,4,33,16,2,6,16,2,9,17,15,0,9,9,9,4,1,20,15,4,9,14,0,25,2,62,41,4,57,3,0,15,20,19,43,33,23,8,43,13,0,11,40,2,8,3,4,77,69,113,2,11,15,5,32,36,15,136,9,73,44,6,15,45,204,1,13,23,1,18,1,16,15,25,51,0,99,16,10,2,86,1161
A,280,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
A,281,4,0,55,8,2,16,12,20,0,7,6,4,17,16,6,2,5,0,0,7,5,0,5,4,4,0,5,11,3,5,1,5,5,5,9,1,0,9,24,0,6,2,15,18,1,30,8,0,6,3,5,13,5,4,3,13,17,2,4,16,1,6,3,5,8,31,52,6,1,3,2,8,9,4,5,5,60,23,7,4,18,71,0,10,0,5,17,0,7,15,4,22,2,53,6,1,0,16,782
A,282,12,43,724,56,25,111,31,158,30,42,44,48,414,114,6,21,44,16,17,83,53,14,41,43,23,31,55,40,8,22,18,34,0,39,114,25,10,21,108,10,332,17,87,160,13,302,53,10,11,25,53,67,42,43,11,98,61,10,25,187,14,52,33,70,82,294,256,52,20,58,10,35,105,49,85,121,553,182,15,35,77,214,13,21,29,58,112,5,50,30,275,128,5,502,18,19,19,228,5871
A,283,0,0,7,0,0,0,0,0,0,0,0,9,28,0,0,0,27,0,0,0,22,0,0,9,3,20,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,3,20,0,1,0,0,11,17,55,0,6,0,0,2,7,12,20,0,2,0,0,0,16,0,4,6,0,8,11,0,0,0,0,10,0,10,0,0,11,0,106
A,284,8,18,256,36,9,37,14,35,2,33,11,10,213,73,22,5,18,7,5,39,27,8,20,29,5,11,29,16,6,14,2,21,26,10,50,6,8,22,39,2,67,1,40,67,7,85,26,11,7,7,16,45,22,20,10,86,43,9,20,78,8,25,16,37,93,83,258,6,9,33,2,10,42,8,275,23,96,89,11,11,38,117,7,23,15,28,42,1,22,19,20,54,7,150,3,1,6,56,1906
A,285,13,10,139,118,9,98,16,104,0,0,137,0,84,5,0,106,2223,0,122,129,2,0,0,126,1,19,8,25,10,6,34,3,0,8,56,35,3,19,12,5,37,0,63,13,2,8,29,10,159,40,24,931,150,13,12,192,120,9,23,45,39,10,24,0,1877,8,194,1,0,72,23,17,138,15,2629,1,146,57,2,33,5,119,88,2,18,18,85,0,8,21,179,70,7,30,0,0,11,51,131
A,286,5,76,277,30,31,32,35,49,0,10,76,28,67,21,6,0,37,1,29,6,6,8,2,58,22,80,63,51,40,29,10,23,54,5,38,36,47,93,30,0,44,0,58,57,16,55,5,8,0,0,0,110,253,60,1,58,68,35,20,90,7,19,0,24,368,8,296,5,34,29,0,32,54,0,133,64,13,17,29,1,61,43,7,12,0,10,34,0,43,1,50,35,0,183,18,13,0,49,421
A,287,0,1,2,0,0,0,0,0,0,4,0,0,13,0,7,5,3,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,8,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,10,0,0,0,0,0,17,5,1,0,0,0,0,3,1,0,91,3,0,0,0,0,22,1,0,1,0,3,0,0,0,0,6,0,0,1,0,0,0,3,44
A,288,14,33,370,44,21,93,28,100,0,22,115,41,570,131,0,22,37,40,26,71,24,36,17,46,8,10,76,90,55,19,7,46,5,5,126,21,8,22,59,14,168,40,109,82,0,145,52,0,28,48,44,207,456,14,0,318,173,12,17,76,1,59,14,57,803,184,305,19,38,28,7,18,103,33,943,124,355,92,25,44,125,299,9,25,18,55,78,0,17,45,190,142,27,231,29,7,7,109,2552
A,289,4,6,63,14,12,18,5,26,1,10,19,8,67,12,0,10,51,10,7,19,8,3,7,16,1,6,5,16,3,19,4,11,9,8,33,1,2,14,30,3,27,4,29,26,1,46,22,7,13,18,13,28,5,10,2,26,5,16,18,41,6,11,4,36,79,31,55,8,7,20,3,3,27,9,67,18,76,79,0,5,11,71,8,6,9,14,31,2,24,13,21,39,1,53,2,0,4,27,543
A,290,14,0,12,38,0,13,0,23,2,12,84,0,16,1,0,2,469,0,16,8,8,9,0,33,4,3,2,23,2,3,0,0,4,4,19,1,5,2,1,0,0,0,17,7,0,23,0,7,25,6,12,156,14,0,17,10,17,3,8,25,7,2,8,0,70,3,70,0,5,15,0,0,4,50,914,19,42,23,0,17,3,1,12,7,6,10,36,0,3,6,87,9,0,18,0,6,6,3,81
A,291,18,31,570,72,21,94,23,35,11,143,69,42,181,61,57,74,814,12,18,52,98,20,38,123,11,50,55,36,34,27,0,19,8,31,78,54,9,77,38,12,1,8,75,71,19,96,26,6,24,77,49,144,104,48,26,177,0,29,14,301,24,85,12,43,520,142,493,15,20,21,1,18,52,32,434,43,330,114,36,14,131,58,27,29,14,45,54,26,43,54,54,90,10,455,8,7,18,61,2069
A,292,0,0,268,568,0,0,0,0,0,0,0,0,0,0,218,0,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,0,1202,0,0,0,0,0,0,0,185,0,1,403,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0,0,0,0,0,0,60,0,230,748,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,3,3735
A,293,4,0,5,0,1,8,6,7,4,0,2,1,21,0,3,2,34,0,0,5,4,0,0,0,0,0,9,6,2,0,0,1,0,0,3,0,5,8,2,0,3,1,2,0,6,4,0,0,1,3,1,4,1,3,0,10,1,5,3,28,1,0,1,1,8,8,40,1,0,6,0,1,6,1,9,3,65,11,0,8,0,3,0,0,2,2,3,0,0,0,1,1,0,17,0,0,0,4,44
A,294,32,0,154,206,23,126,71,154,0,142,150,10,183,72,0,48,1267,4,5,86,22,0,7,149,11,61,48,33,256,26,34,0,23,63,38,72,0,68,3,32,88,0,84,18,0,41,20,7,57,74,99,459,381,43,0,689,683,3,11,99,0,0,8,12,662,23,372,0,0,82,6,22,60,45,10785,25,251,86,0,75,63,192,33,27,17,100,282,9,17,40,166,70,0,108,0,0,10,18,783
A,295,0,11,268,29,10,140,34,75,0,24,77,35,297,77,2,38,0,16,0,34,12,18,14,37,0,48,27,54,0,40,0,14,0,39,61,6,15,33,18,35,13,4,63,66,2,354,0,0,3,0,33,5,87,17,0,106,0,29,25,56,36,25,5,104,118,174,176,3,35,24,0,32,31,5,13,50,117,74,16,0,165,51,0,9,0,45,36,0,12,11,41,61,0,172,0,30,2,91,3312
A,296,0,0,22,73,0,62,0,20,0,6,7,0,22,0,0,0,218,0,0,41,0,0,0,35,0,0,0,14,0,2,0,0,13,0,0,19,0,1,37,0,36,0,67,12,0,71,17,6,1,0,54,148,11,21,0,2,3,0,0,4,2,2,0,0,577,52,66,0,0,16,6,0,51,0,4734,0,9,0,0,0,18,34,2,0,0,21,40,18,0,0,121,15,0,0,0,0,0,5,304
A,297,10,40,308,31,13,123,40,69,3,34,48,19,240,136,9,2,5,28,12,46,19,13,18,27,2,11,26,24,44,15,9,27,37,22,56,23,2,21,84,8,123,7,55,97,7,180,12,9,10,14,27,105,132,29,7,138,90,5,20,104,14,17,23,53,202,156,163,21,14,14,4,18,38,23,51,51,203,84,3,15,74,165,1,24,11,34,100,1,39,16,86,81,5,284,2,14,7,100,3041
A,298,0,0,0,0,0,0,16,0,0,0,0,0,6,15,0,17,17,0,0,0,0,0,0,0,0,5,0,8,7,9,0,0,0,0,0,2,0,1,0,0,24,0,0,0,0,6,0,0,0,14,15,4,0,22,0,28,11,0,0,20,0,0,0,0,18,16,11,0,7,0,0,0,1,0,0,0,10,0,0,0,0,9,2,0,0,0,3,0,0,0,0,12,0,0,0,11,0,0,10
A,299,18,46,27,278,72,53,65,348,0,4,175,9,194,0,16,30,1846,15,128,130,50,29,0,328,4,15,21,22,243,2,11,9,13,12,80,16,0,15,6,5,208,15,157,30,28,33,53,11,121,37,77,2351,46,46,23,130,116,55,12,63,35,22,51,9,2569,17,278,18,4,76,20,27,173,118,1913,28,608,201,9,76,0,88,177,13,62,38,188,6,5,43,510,87,5,62,11,0,0,13,391
A,300,7,0,111,19,5,14,2,59,0,3,40,3,23,46,30,19,108,0,83,19,1,0,8,86,0,3,13,12,60,0,0,1,26,25,25,4,4,5,12,0,173,11,27,0,0,19,29,0,13,2,0,171,41,10,1,70,3,0,10,0,5,6,0,6,115,23,119,6,0,23,3,19,25,7,430,21,94,5,9,0,29,11,21,7,0,58,17,0,42,38,113,12,0,66,0,0,4,31,809
A,301,0,0,0,0,0,99,43,0,3,3,51,0,21,65,77,0,0,6,0,0,61,0,0,0,0,0,28,63,0,0,0,0,0,0,22,0,0,2,244,0,14,0,1,186,0,62,0,0,0,0,0,0,0,64,0,110,0,14,0,0,0,0,0,123,65,317,0,0,0,0,0,0,76,25,982,0,0,0,0,0,122,4,0,10,0,47,51,0,0,0,3,68,0,140,0,0,0,85,2267
A,302,0,312,259,132,89,514,2,214,0,86,186,98,589,292,312,38,197,48,111,65,18,42,0,218,30,14,223,369,0,109,31,116,46,48,31,64,13,10,236,42,55,0,16,470,0,129,38,162,23,27,166,229,390,68,0,50,51,1,49,110,45,9,5,173,1664,239,1076,0,29,19,0,58,114,7,10159,135,527,42,0,15,213,81,30,32,55,383,184,0,123,102,144,94,0,154,1,89,27,126,2344
A,303,3,59,237,244,18,178,11,186,4,45,405,10,344,93,4,23,2453,10,111,223,21,29,15,255,0,21,83,67,42,26,0,34,11,8,102,25,0,28,70,10,50,20,124,65,0,182,50,70,274,50,85,539,141,52,48,166,123,24,49,51,30,48,22,35,5306,131,306,0,13,152,10,37,216,78,31595,62,160,95,21,76,108,379,161,66,41,60,94,2,20,18,351,152,26,120,1,6,5,172,2024
