GROUP,ID,VAT1,TXNDC5,TUBB4B,TOM1,TOLLIP,TMEM30A,TMC6,TCIRG1,SYNGR1,SVIP,STXBP2,STK11IP,SLPI,SLC27A2,SERPINB6,S100P,S100A9,RAB4B,RAB24,QSOX1,PYGB,PYCARD,PTPRN2,PTPN6,PTGES2,PSMC3,PSMB1,PSMA2,PRKCD,PPIE,PKP1,PGRMC1,PGM1,PFKL,PDXK,PDAP1,ORMDL3,NME2,NIT2,NDUFC2,NBEAL2,NAPRT,MVP,MLEC,MIF,METTL7A,MAN2B1,LTF,LRG1,LAMTOR1,LAMP1,JUNB,JUN,IMPDH2,IMPDH1,HSPA1B,HSPA1A,HMOX2,GUSB,GSTP1,GSDMD,GALNS,GAA,FUCA1,FOS,ENPP4,EEF2,DPP7,DNASE1L1,DNAJC5,DGAT1,DDOST,DBNL,CYBA,CXCL8,CTSH,CTSD,CST3,COMMD3,CKAP4,CEP290,CD59,CD14,CAT,CANT1,ATP8B4,ATP6V0C,APRT,APEH,AP2A2,ANPEP,AMPD3,ALDOC,ALDH3B1,AGPAT2,AGA,ACTR1B,ACAA1,ABCA13
A,324,0,0,232,309,0,396,0,367,0,0,236,0,68,0,0,3,287,0,0,254,13,0,0,300,0,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,0,0,15,0,0,0,177,0,0,178,0,186,38,282,0,0,205,0,0,4,0,0,0,0,805,220,48,0,0,273,0,0,0,0,1382,0,150,266,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,108,0,0,0,0,1791
A,325,1,1,19,16,9,14,1,36,3,9,21,10,55,7,6,10,584,0,24,3,0,1,12,43,3,1,9,13,41,2,7,0,5,11,8,9,4,5,0,2,59,1,12,9,5,18,8,8,34,4,8,306,7,1,19,17,29,3,1,24,3,0,0,0,656,8,47,0,6,15,1,0,10,13,282,8,65,33,1,8,3,5,14,2,2,30,75,0,8,4,21,9,0,20,5,0,8,1,47
A,326,5,42,122,15,0,46,20,17,6,17,21,4,162,8,20,41,108,5,2,60,6,5,0,51,8,0,36,41,0,0,1,0,8,22,21,8,0,0,0,0,48,0,35,32,12,62,43,36,0,3,23,27,8,38,4,31,12,15,35,72,0,0,5,73,24,88,203,0,0,10,0,9,32,13,39,17,213,112,0,59,22,68,24,11,0,26,35,0,42,4,17,26,20,27,0,2,0,13,191
A,327,1,11,45,17,8,10,0,19,0,10,13,11,26,2,13,27,28,1,1,5,18,5,0,35,7,13,15,29,6,1,4,0,17,15,19,3,17,21,4,3,43,5,12,19,5,16,5,0,2,22,5,7,4,14,1,23,0,0,0,36,0,8,2,0,6,7,175,1,8,5,0,8,26,9,1,9,79,23,1,5,10,4,8,5,1,0,32,5,16,9,9,22,2,39,2,0,1,3,35
A,328,6,5,79,4,3,19,2,9,1,12,3,2,37,1,44,6,1,4,7,13,3,8,2,29,5,17,28,21,4,5,1,2,5,6,17,2,2,7,3,3,3,9,15,26,1,1,5,4,0,12,5,6,1,12,2,8,5,0,3,24,4,3,4,4,0,5,107,0,2,26,2,0,10,8,1,24,11,20,0,1,9,4,0,3,3,2,9,0,5,4,0,20,1,42,10,2,10,0,49
A,329,6,12,186,4,4,56,3,7,2,16,35,10,144,110,28,3,0,8,10,27,11,4,15,7,6,10,22,35,39,15,2,23,7,14,36,12,3,10,49,4,34,2,36,75,0,111,11,0,3,1,27,3,13,7,0,46,20,5,11,37,4,20,2,30,26,127,79,4,16,24,2,3,31,0,2,18,31,35,6,11,60,296,0,12,1,15,12,0,21,8,4,36,11,118,1,0,2,30,1777
A,330,1,13,65,7,3,15,10,5,4,9,7,2,64,14,27,8,27,0,0,4,3,7,5,18,5,20,11,23,9,0,0,8,9,4,14,10,6,27,4,1,9,3,18,13,2,30,11,6,0,12,14,20,4,19,0,24,16,10,6,40,2,7,4,5,16,17,190,3,1,8,0,9,16,2,180,11,47,20,5,7,17,1,2,7,3,9,13,3,4,8,6,14,2,41,1,4,0,6,97
A,331,0,0,2,0,14,64,0,0,0,42,0,0,90,0,0,11,0,2,7,0,14,0,0,0,0,0,59,31,0,7,0,0,14,7,0,13,0,7,12,2,0,0,2,5,0,19,7,15,3,0,0,0,0,17,0,0,0,2,0,19,0,0,1,0,0,17,16,1,0,1,0,0,20,0,33,0,0,0,0,23,0,8,0,8,0,5,0,0,6,1,26,3,0,15,0,0,0,1,40
A,332,0,0,0,0,0,3,0,0,0,0,1,0,5,1,0,0,6,0,0,0,0,0,0,1,0,0,2,3,0,5,0,2,0,4,4,0,0,0,0,0,2,0,0,0,1,0,1,2,0,2,0,1,0,2,0,0,2,0,0,4,0,0,0,0,3,0,7,0,0,0,0,0,0,4,56,1,0,0,0,0,1,0,1,1,0,0,1,0,4,0,1,2,0,2,0,1,0,0,2
A,333,6,2,19,4,3,23,2,5,6,2,11,0,64,19,9,35,7,1,0,4,1,0,2,4,0,6,21,35,10,3,0,25,2,0,2,3,0,9,17,21,0,0,1,32,0,22,1,0,0,7,7,0,3,2,0,0,3,1,1,11,0,0,0,10,6,54,36,0,3,2,0,3,8,0,10,2,2,0,33,5,20,4,0,8,2,14,3,0,2,1,0,17,0,12,0,1,0,22,356
A,334,0,26,2,23,0,0,14,0,2,61,0,0,87,0,0,89,86,0,0,1,29,0,0,0,0,0,0,1,0,0,0,57,0,0,44,0,0,0,0,0,0,16,45,35,0,0,24,0,5,53,31,3,0,8,0,229,0,63,18,1,0,0,0,0,146,0,13,0,0,0,0,28,16,11,47,0,91,196,0,0,0,78,0,0,0,0,83,0,0,61,0,70,0,0,0,0,0,0,110
A,335,1,0,17,21,2,12,2,9,0,8,18,2,24,20,0,2,99,3,4,11,2,0,0,10,0,7,9,4,9,0,0,3,4,6,15,2,2,7,7,2,2,0,7,9,0,12,9,0,8,13,6,45,14,7,0,11,9,3,1,4,2,3,1,2,313,16,32,0,1,8,0,4,14,4,834,1,11,8,4,13,9,30,8,1,0,5,3,0,1,2,35,8,0,19,0,0,0,20,289
A,336,0,0,0,0,0,51,0,0,0,0,4,0,5,22,0,10,0,0,4,9,9,0,0,0,0,2,0,12,0,1,0,0,0,0,0,0,0,8,26,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,23,0,0,0,0,0,0,0,21,0,22,3,0,0,0,0,0,2,0,27,0,6,0,0,0,0,10,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,18,218
A,337,2,2,64,4,5,17,0,2,0,15,9,3,96,6,31,10,8,10,0,2,2,4,10,9,4,2,24,19,0,4,2,13,11,1,8,11,3,17,4,1,2,2,5,36,0,19,6,25,9,0,12,1,1,16,2,12,0,0,3,33,4,1,7,20,24,42,55,1,19,6,0,7,14,1,106,6,66,13,0,2,9,8,6,8,0,43,26,0,13,20,22,14,0,20,0,5,0,0,163
A,338,3,2,35,6,4,10,3,1,2,8,11,1,35,8,18,13,42,0,3,1,9,4,1,5,1,8,16,15,1,0,2,4,12,2,8,6,1,16,7,7,2,1,21,11,1,23,3,5,3,16,1,14,2,2,0,0,8,3,0,27,0,2,1,5,18,10,88,0,0,14,0,5,3,4,214,1,22,8,2,3,5,12,1,2,1,8,14,0,8,5,17,7,2,51,2,2,2,5,84
A,339,34,53,108,8,38,115,4,125,7,82,72,10,235,51,53,1,41,0,0,103,9,12,26,3,0,0,22,112,0,13,0,13,40,4,107,0,6,12,77,26,23,18,39,146,0,143,47,132,0,29,11,82,29,16,4,45,80,31,37,15,72,23,11,38,67,133,92,22,8,46,0,38,67,6,190,4,207,84,0,23,55,9,0,27,0,50,186,0,67,0,44,36,0,109,0,0,9,60,812
A,340,0,1,47,0,2,20,2,0,2,23,0,4,15,0,5,42,30,0,0,2,6,1,25,4,0,9,24,35,0,1,2,11,14,4,1,20,0,3,8,0,8,0,2,23,0,8,6,5,0,5,1,5,12,0,0,6,0,0,0,0,7,8,0,6,4,4,143,0,0,5,0,6,0,0,24,8,10,0,0,1,17,45,0,2,0,0,3,1,25,4,0,14,4,45,0,0,1,5,125
A,341,0,100,50,13,5,212,24,41,0,17,135,0,545,260,0,3,76,2,17,27,17,0,1,13,2,5,52,45,2,2,0,40,0,0,53,0,0,14,52,10,4,4,34,119,1,51,27,6,6,44,26,23,32,15,3,75,21,5,41,24,11,17,16,70,72,133,110,1,8,2,8,18,32,2,642,45,57,28,19,25,92,147,18,21,5,59,4,0,6,29,47,102,10,89,0,15,3,10,3097
A,342,0,9,48,14,0,0,0,0,0,14,6,0,39,0,0,0,88,0,0,12,0,0,0,6,0,0,0,0,0,0,5,4,0,0,19,35,30,0,0,0,0,0,21,0,0,31,0,0,31,0,13,26,0,22,0,95,0,10,0,72,0,0,0,0,147,0,68,0,69,111,0,0,0,2,85,0,161,42,0,6,0,0,0,0,0,0,73,0,7,0,0,0,0,74,27,0,0,45,33
A,343,2,6,31,0,1,19,2,2,0,9,49,1,61,3,13,4,1,2,3,12,4,0,1,3,0,6,5,17,1,6,2,5,4,5,10,5,9,5,2,6,1,0,5,27,0,73,3,6,2,2,3,4,7,5,2,12,14,4,8,7,0,2,0,1,2,9,27,0,2,12,0,3,5,0,4,6,3,6,2,4,12,17,0,1,3,0,2,0,7,6,1,5,1,11,0,2,0,4,61
A,344,0,0,41,1,3,2,0,2,2,5,4,5,24,3,12,4,7,0,1,1,2,0,2,4,0,5,2,8,0,1,2,0,0,8,7,4,1,5,1,2,1,0,5,9,1,7,5,3,1,4,3,4,7,5,0,0,6,3,1,12,0,1,1,1,3,7,51,0,2,7,0,2,7,4,31,0,6,5,1,1,0,8,1,4,0,3,2,0,3,7,1,7,1,19,0,0,1,3,40
A,345,2,5,65,23,2,31,18,23,0,15,27,4,53,22,16,8,29,0,8,12,7,1,8,16,1,4,27,22,0,7,0,4,0,4,10,6,2,4,17,0,41,0,4,11,1,29,17,8,3,10,14,28,31,17,9,12,26,6,11,15,1,9,1,19,95,25,70,0,3,6,0,4,19,18,169,16,42,18,4,6,26,32,6,5,1,24,57,2,5,8,34,26,2,14,0,5,1,11,338
A,346,1,0,19,2,1,3,0,4,0,10,2,0,20,1,0,4,29,0,0,0,2,0,1,0,0,1,6,1,0,0,0,0,0,2,14,3,3,4,0,0,0,1,2,4,0,2,0,1,2,2,4,3,0,2,0,0,22,0,0,9,0,2,0,0,23,15,39,2,0,2,0,2,2,0,141,3,6,12,0,0,4,0,0,2,0,5,1,1,3,2,3,7,0,18,0,0,0,0,33
A,347,4,193,9,31,3,97,2,5,0,17,52,0,250,37,21,26,405,4,19,25,3,0,0,33,1,9,40,26,0,10,4,15,19,9,24,0,0,12,16,13,1,0,8,65,0,41,16,273,7,6,16,12,31,18,0,27,86,9,14,25,1,10,0,35,64,77,29,0,4,11,3,3,50,7,2896,8,21,29,7,14,49,68,2,16,8,66,31,0,1,10,12,74,2,18,0,10,0,27,720
A,348,5,3,25,2,11,3,0,2,1,9,5,3,81,1,13,7,19,5,3,1,10,1,2,10,12,11,14,10,0,0,3,7,14,1,19,4,2,36,5,0,3,0,19,16,2,22,0,4,0,9,6,1,10,10,0,10,2,4,4,12,0,0,4,5,13,9,88,0,3,4,0,3,2,2,49,5,27,12,0,8,18,15,0,2,3,4,13,1,8,1,13,16,0,31,0,0,1,0,45
A,349,1,7,50,5,0,15,2,5,2,9,7,2,47,8,12,5,9,0,8,2,3,0,3,4,0,4,13,4,16,4,2,1,0,0,15,7,0,8,7,5,1,0,8,17,0,18,7,15,1,3,6,1,12,4,2,2,4,2,4,29,0,4,2,8,8,8,48,2,1,11,0,8,4,5,96,13,25,16,2,3,14,17,1,2,3,1,15,1,8,1,7,12,1,36,1,3,1,12,231
A,350,1,5,20,2,8,10,0,1,1,14,1,0,36,1,16,6,25,5,0,3,2,0,0,11,1,8,12,18,5,0,2,3,2,3,8,12,1,12,0,3,0,0,14,7,3,12,0,3,5,4,6,5,0,8,4,0,13,0,0,12,2,1,1,5,14,24,65,2,2,16,0,2,11,0,192,5,15,1,0,1,6,0,0,5,5,4,4,2,10,1,2,9,2,4,0,4,0,0,65
A,351,20,52,332,107,25,111,36,111,1,53,94,51,250,270,33,7,120,11,18,150,37,12,36,57,11,11,88,68,34,37,1,44,56,46,92,23,2,13,144,15,266,7,56,204,6,193,66,1,92,34,36,156,24,37,8,72,95,8,36,74,27,68,27,140,205,387,253,10,22,26,6,18,92,34,1665,68,180,182,16,24,166,271,76,49,16,56,100,1,38,52,213,122,8,338,7,12,17,167,6787
A,352,2,0,129,14,21,26,1,7,0,77,31,6,138,7,47,13,6,6,0,23,19,1,20,4,1,3,14,57,0,10,14,11,26,13,27,16,6,9,17,5,3,9,37,80,9,87,9,1,2,16,6,9,5,18,4,27,56,2,6,180,3,10,7,30,25,87,365,4,9,23,0,2,22,0,8,12,77,56,12,26,57,5,1,33,3,6,64,5,15,17,60,43,2,163,4,7,14,6,308
A,353,17,0,38,0,0,0,0,54,0,0,0,0,62,0,0,61,432,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,60,20,0,0,0,0,199,0,0,0,124,0,62,0,340,0,0,0,0,0,80,0,0,13,0,36,0,0,51,37,0,12,0,930,19,159,138,0,0,0,0,18,0,0,0,29,0,0,0,128,0,0,0,0,0,0,32,358
A,354,0,6,44,1,6,3,6,7,0,7,4,0,38,9,10,7,42,0,0,3,10,0,3,5,8,5,19,5,3,0,3,4,16,0,11,0,1,5,8,6,12,0,2,8,0,22,6,0,0,3,1,5,1,6,0,8,4,1,0,0,0,5,0,1,17,19,27,6,13,8,0,0,10,6,37,12,42,6,0,2,1,4,3,2,0,10,23,0,7,9,10,12,0,38,0,0,0,9,81
A,355,0,36,50,15,0,14,0,10,10,6,0,14,50,7,29,0,9,0,0,37,6,0,6,9,0,30,0,18,0,35,0,0,0,15,5,0,0,7,19,0,0,0,32,29,0,34,8,0,0,16,0,0,73,27,7,86,0,0,13,93,0,35,10,0,13,19,94,0,0,0,0,23,5,0,0,6,24,7,15,0,8,13,0,3,0,0,5,0,0,46,0,5,0,50,0,13,0,27,266
A,356,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,12,50,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,29,0,0,0,48,0,25,0,0,0,0,0,0,52,0,0,0,0,56,25,0,18,0,0,0,0,0,0,85,48,33,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
A,357,0,2,0,3,0,55,0,0,0,18,0,0,17,0,38,20,31,0,0,1,4,0,0,8,0,1,4,48,0,6,16,3,0,2,1,7,0,25,0,0,3,0,2,26,0,32,0,22,0,3,11,0,17,40,0,6,1,0,7,21,0,0,0,14,0,3,51,0,0,3,0,10,2,0,295,0,19,0,0,1,0,13,6,1,0,27,16,0,0,7,0,3,0,9,0,9,0,0,57
A,358,1,0,21,3,1,10,2,5,0,3,3,0,63,3,0,1,0,1,2,4,0,1,1,0,0,4,0,7,0,3,0,5,1,1,5,4,0,3,1,2,1,0,8,4,0,9,2,0,2,2,3,7,4,1,0,14,0,0,5,19,1,2,1,3,11,19,11,3,0,4,0,0,5,1,1,6,14,6,1,4,7,13,0,1,0,5,8,0,3,2,4,4,4,18,0,2,0,5,261
A,359,2,16,115,17,13,24,3,36,0,28,12,6,128,29,25,12,50,4,7,2,18,5,9,24,3,8,12,13,0,7,0,5,14,15,44,7,2,19,18,4,17,5,31,30,4,41,9,35,3,6,22,46,35,12,4,37,20,1,12,90,5,15,11,19,32,42,155,4,11,16,0,5,27,16,43,13,128,51,6,6,17,40,5,20,3,11,66,4,26,14,22,30,1,143,8,5,9,11,406
A,360,0,0,46,1,0,48,0,1,0,17,0,0,136,0,5,0,6,1,0,1,6,0,8,0,0,2,1,11,0,0,1,11,0,11,8,4,18,0,14,6,7,0,5,31,0,11,4,3,0,5,4,0,1,50,0,5,21,6,0,12,0,0,3,0,31,24,48,5,0,12,6,2,10,9,0,21,20,38,0,11,10,9,0,0,0,8,13,0,16,10,0,1,2,41,0,0,1,0,199
A,361,0,8,25,9,0,23,0,5,0,4,0,0,137,4,6,12,54,0,0,44,17,0,0,0,1,0,7,0,0,0,0,0,0,0,22,14,0,9,7,0,8,0,6,12,1,9,12,0,0,10,2,7,0,0,9,1,4,4,12,41,27,4,0,9,0,26,20,0,0,0,0,0,11,1,0,6,225,8,0,2,12,12,5,0,5,0,28,24,0,0,29,7,0,9,0,2,0,0,30
A,362,15,3,26,7,8,40,2,13,0,1,5,7,54,8,19,13,29,8,0,18,6,3,0,11,5,5,4,6,9,19,2,0,14,6,27,4,4,12,8,10,8,1,12,14,4,17,2,11,5,2,13,23,46,12,0,65,12,5,5,57,0,26,9,2,53,11,129,18,2,13,14,0,66,26,50,9,75,5,1,4,16,31,0,10,0,14,37,0,17,8,2,27,0,58,1,0,0,19,303
A,363,38,35,685,215,10,60,11,132,0,34,254,8,279,20,120,24,1044,0,48,108,5,48,16,105,0,19,119,101,15,43,13,59,32,35,213,4,0,95,53,6,275,0,102,83,4,49,31,30,65,117,55,511,344,16,0,289,710,46,0,252,47,38,13,84,1028,75,516,0,30,119,32,0,63,5,2346,59,325,145,0,23,15,184,19,3,0,7,74,11,23,1,191,78,4,162,0,32,41,94,538
A,364,0,0,5,5,2,0,1,3,0,0,0,0,14,0,0,2,88,2,0,0,3,3,0,1,0,0,0,0,0,1,0,0,0,7,6,0,0,0,7,5,6,0,9,0,0,2,6,2,0,7,4,6,6,0,0,0,5,7,2,26,0,3,0,0,27,0,9,0,0,0,0,1,6,2,62,0,16,4,0,1,9,0,0,1,5,0,6,0,0,1,25,0,0,5,0,0,0,1,21
A,365,10,27,198,21,6,49,7,6,0,28,17,14,105,126,0,30,13,4,0,47,1,0,27,2,0,7,7,54,7,16,0,4,32,1,54,7,0,10,55,7,54,4,55,61,3,140,14,0,2,2,15,1,8,3,4,86,100,3,29,21,3,28,3,45,22,153,96,15,20,14,0,8,27,11,41,35,150,69,30,22,160,146,0,9,7,13,39,0,13,23,37,84,0,133,0,2,2,61,2634
A,366,32,29,260,961,61,209,71,422,6,37,876,18,138,13,5,108,7215,4,536,452,106,65,4,845,2,63,118,59,464,38,31,3,41,26,219,144,13,40,41,1,669,42,325,38,9,52,185,91,678,54,209,3839,1093,36,118,562,211,63,129,51,52,135,25,2,9491,69,516,22,34,416,62,49,684,187,40781,47,917,239,5,333,37,242,614,19,83,300,413,22,36,79,724,231,9,109,1,9,23,273,1039
A,367,20,14,82,0,39,5,0,55,0,9,32,27,158,5,81,25,109,0,0,7,0,26,6,40,58,22,12,7,0,0,6,8,0,9,56,0,0,146,15,49,33,2,51,46,5,41,8,0,0,33,18,69,109,0,23,111,0,41,14,63,10,4,10,15,239,16,415,0,0,97,0,101,85,27,435,56,160,51,0,0,14,57,11,11,0,13,10,0,50,9,0,19,0,40,0,0,0,31,419
A,368,14,35,333,23,7,52,28,33,0,49,56,32,425,156,17,0,0,23,0,114,24,15,0,14,0,22,50,47,8,89,0,76,23,3,44,0,6,11,157,10,14,2,56,77,5,153,33,22,7,5,45,18,70,37,0,14,35,0,30,52,22,11,54,66,120,254,210,29,41,8,5,24,50,12,49,16,150,121,13,21,135,51,26,27,9,71,107,8,2,46,38,140,0,149,8,12,0,190,4486
A,369,1,1,6,1,4,11,0,2,0,2,3,0,28,0,2,10,67,0,3,0,1,2,4,1,2,0,11,0,0,0,1,0,0,5,7,4,0,4,0,1,1,3,4,4,0,4,1,1,3,1,5,5,0,4,2,0,7,1,2,8,0,0,0,4,38,18,20,3,4,6,0,0,3,2,264,6,7,6,0,7,13,0,5,1,0,1,0,0,3,0,1,11,0,4,0,0,0,3,25
A,370,15,0,86,9,0,0,19,0,15,0,16,0,85,0,0,17,6,0,0,35,0,0,57,71,0,0,0,0,0,4,0,0,0,26,47,7,0,22,7,1,15,11,51,45,44,123,0,0,0,52,4,23,1,0,0,30,68,13,13,37,0,0,0,45,72,26,434,0,0,15,0,0,14,0,116,69,38,7,0,38,0,0,0,1,12,0,4,0,14,1,0,23,0,13,0,0,0,12,117
A,371,0,1,0,0,0,40,0,0,0,39,0,0,13,0,0,0,88,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,7,0,0,30,0,0,0,0,0,0,110,0,0,0,0,0,0,0,183,0,11,8,0,0,0,12,5,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0
A,372,1,0,8,41,6,15,14,39,2,3,46,2,56,0,3,34,1023,2,47,7,13,6,0,77,1,4,7,14,4,1,4,0,2,0,10,6,0,0,0,0,9,8,31,5,0,1,23,49,57,16,8,338,11,1,11,3,42,1,2,9,3,3,6,1,591,0,112,7,1,8,1,2,15,19,6401,1,58,15,0,13,1,3,23,5,12,23,99,2,1,6,27,11,0,4,2,0,0,2,63
A,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907,0,0,0,0,0,0,3368,0,0,0,0,382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1005,0,316,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,353,598,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
A,374,4,7,11,6,7,13,1,4,1,9,4,2,38,0,1,19,97,1,4,5,6,0,0,8,2,3,4,7,7,1,6,1,7,6,9,7,3,8,1,0,5,0,13,13,2,4,2,18,11,3,16,12,3,2,0,6,15,7,1,14,1,3,0,0,56,12,64,1,2,4,1,8,19,3,34,9,91,20,0,7,4,12,1,1,3,2,6,3,6,1,10,5,4,8,0,1,0,4,56
A,375,2,22,77,16,6,54,12,20,0,3,11,10,216,39,0,2,32,24,12,17,8,3,10,6,2,13,14,7,5,13,32,19,2,7,46,6,2,8,12,3,1,9,24,39,1,61,9,2,8,5,28,100,128,19,1,71,34,6,10,56,7,15,15,16,340,32,112,6,2,17,4,9,31,12,227,26,120,32,4,14,15,61,0,3,5,4,78,3,13,12,45,51,1,52,12,7,2,29,686
A,376,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
A,377,1,6,1,8,6,85,1,19,1,5,18,0,63,0,0,11,114,0,9,22,0,2,0,7,0,3,11,3,0,6,12,1,3,1,12,0,0,2,7,2,6,0,5,21,0,8,0,4,6,4,11,42,9,1,6,21,14,9,1,17,10,0,0,13,188,15,22,0,7,5,2,8,16,2,1272,3,18,17,1,19,6,99,1,0,9,4,47,0,0,6,0,18,0,4,1,7,0,7,159
A,378,1,19,139,29,14,40,1,6,11,15,2,19,331,17,37,3,1,7,0,2,30,16,6,38,15,6,5,27,0,0,0,2,15,2,38,0,2,46,0,15,4,9,28,28,2,73,46,8,0,14,7,0,7,13,9,0,7,10,28,0,4,1,6,43,0,27,251,13,25,5,3,13,32,0,79,25,70,13,5,2,7,96,21,24,0,19,36,0,16,6,13,28,0,92,9,0,11,9,191
A,379,0,2,77,0,5,0,7,8,1,4,2,0,51,4,8,16,0,0,2,4,4,0,2,0,3,0,10,1,0,7,0,0,3,3,14,0,0,4,0,0,13,7,8,14,1,17,4,0,0,4,2,5,2,4,0,5,2,2,0,45,0,5,2,9,0,5,47,0,2,12,0,4,3,3,4,7,17,15,0,3,6,35,7,3,0,2,10,1,1,15,0,23,0,37,4,2,0,1,103
A,380,5,0,179,14,2,20,10,15,0,14,18,6,78,34,1,0,24,0,5,21,1,9,15,23,9,19,0,26,0,24,0,9,5,5,8,5,2,0,26,0,0,0,12,45,0,94,9,0,10,0,28,25,9,4,0,24,47,15,0,6,0,13,14,21,20,95,55,0,4,20,0,4,34,13,38,5,43,20,0,5,58,54,7,10,5,23,32,0,2,11,12,23,0,77,0,0,14,32,863
A,381,3,0,9,0,0,0,0,3,1,0,0,3,8,0,0,5,9,0,0,0,1,0,0,0,0,0,1,3,2,2,0,2,1,1,2,0,0,5,0,0,1,4,1,3,0,1,0,0,1,0,2,8,0,0,2,8,3,0,0,25,0,1,0,0,3,1,19,1,0,1,0,0,0,0,16,3,22,4,0,0,0,14,0,1,0,0,2,0,2,7,6,3,0,9,3,0,1,2,13
A,382,28,21,323,45,18,54,40,102,8,32,45,27,451,103,51,56,48,13,7,41,25,17,16,93,15,23,49,43,16,24,6,27,8,53,83,13,11,70,47,3,119,22,110,95,22,128,31,5,4,51,40,72,58,52,22,611,433,21,40,201,21,39,21,26,51,128,482,28,5,50,9,24,59,51,46,66,323,97,23,44,61,146,11,32,20,44,168,7,80,55,25,108,9,368,10,3,16,68,1330
A,383,10,9,206,42,0,64,17,60,2,10,60,12,83,42,2,2,33,8,6,13,11,7,22,8,3,10,31,21,0,23,0,35,9,12,48,17,3,9,49,0,3,1,37,31,0,84,21,0,11,16,7,31,4,21,2,0,31,3,11,4,1,33,1,26,38,161,48,1,13,13,3,0,13,12,241,32,123,31,0,11,14,39,5,10,11,19,37,0,23,17,19,20,3,70,9,4,2,116,2089
A,384,10,13,87,72,2,125,3,50,0,61,184,1,229,148,28,2,143,13,13,77,4,0,4,29,0,0,64,30,6,44,12,71,0,2,18,33,13,13,52,0,61,0,23,59,0,180,0,28,25,22,63,71,517,39,0,64,82,8,28,0,2,7,5,71,1025,181,30,16,1,66,4,53,25,0,2392,13,25,12,0,72,133,235,0,26,11,29,10,0,1,17,2,32,0,38,0,0,11,56,1757
A,385,13,5,18,24,12,13,2,1,0,5,5,0,16,0,15,21,166,2,16,9,10,0,0,8,0,9,10,8,18,3,0,0,1,5,12,13,4,8,1,2,11,1,36,14,0,9,2,5,15,11,1,116,24,13,2,11,20,4,2,41,2,0,1,9,233,11,107,4,0,11,0,9,30,4,281,8,64,16,0,0,1,5,8,0,4,1,6,2,8,15,21,20,4,12,1,0,2,0,29
A,386,13,13,291,45,5,104,17,21,3,17,56,27,190,214,0,0,120,5,5,40,7,15,39,16,3,11,56,37,29,29,0,17,0,18,50,34,0,37,90,12,17,15,48,81,13,272,46,0,1,7,38,39,57,20,0,41,32,12,22,68,1,15,6,78,105,274,102,19,14,18,16,0,37,11,1108,88,196,38,27,17,116,271,11,29,9,97,30,5,19,31,67,114,1,148,16,6,21,118,4417
A,387,19,17,91,28,50,35,33,35,0,20,46,1,43,6,27,77,63,11,11,22,40,24,0,32,4,19,67,37,7,11,9,9,0,28,28,21,1,41,6,2,50,11,67,53,25,49,54,0,18,67,37,114,52,17,18,147,61,18,15,84,11,2,46,21,81,3,232,8,5,67,4,2,69,31,66,40,472,265,4,11,10,20,32,18,2,7,188,12,5,18,13,35,8,70,6,4,0,16,138
A,388,32,0,15,2,9,0,0,0,0,14,3,0,36,0,0,4,4,0,0,0,13,0,6,0,0,0,15,8,0,0,3,0,0,2,2,0,0,30,0,0,3,0,0,7,0,41,27,0,0,12,1,0,0,8,0,0,28,0,0,22,0,0,0,0,0,1,190,0,0,7,0,0,0,0,14,1,16,6,6,2,7,71,0,7,10,1,37,0,9,19,0,18,11,28,0,8,16,9,54
A,389,5,12,31,81,7,18,5,62,1,8,52,6,63,9,7,23,450,2,22,26,7,10,5,47,8,7,21,11,28,12,4,4,13,10,48,6,3,13,9,1,108,8,28,24,2,26,24,14,66,6,18,163,133,19,11,23,15,8,9,41,9,10,20,10,189,14,108,4,4,21,2,2,45,17,2536,12,67,37,2,28,6,57,30,4,6,24,46,3,16,15,42,85,2,27,0,2,2,13,369
