ARG1;CD177;CEACAM8;DEFA4;ELANE;LCN2;MCEMP1;MMP8;OLFM4;Group
9,252665432;11,42626475;8,468461132;7,442943496;3,584962501;9,960001932;12,10131915;10,77148947;8,499845887;1
10,66711154;10,11113567;11,08605659;11,45943162;7,686500527;12,24287637;10,89557528;11,86997933;11,01402047;1
11,48532619;12,28944258;8,529664802;8,330916878;4,247927513;10,44397954;12,45891921;10,45943162;5,357552005;1
7,539158811;8,154818109;6,838195439;7,994353437;4;8,28077077;10,00702727;8,361943774;5,95419631;1
9,955649908;14,32811389;6,298475035;4,584962501;2;7,531381461;14,37211686;9,632995197;8,405141463;1
10,30833903;9,544964433;11,1045791;11,40832974;6,882643049;12,40992124;10,54012804;11,78135971;9,647458426;1
8,696967526;6,807354922;8,381283373;8,46760555;3,321928095;9,523561956;10,66799854;9,744833837;8,6794801;1
5,087462841;8,224001674;6,208868371;4,247927513;0;7,894817763;9,35974956;7,238404739;5,129283017;1
7,994353437;4,392317423;7,185172775;6,781359714;2,321928095;8,906890596;11,46964182;9,312882955;5,426264755;1
10,01402047;7,721099189;10,22134544;10,76901132;6,442943496;10,81458247;10,62021983;11,19537221;9,136991112;1
8,960001932;8,531381461;9,843135911;9,599912842;6,459431619;10,99081308;10,44397954;10,97154355;9,891783703;1
9,569855608;8,909893084;10,52339533;9,905387005;6,64385619;11,81778312;11,87113518;11,85642553;10,96866679;1
11,56128795;9,992938336;7,279471296;7,17990909;3,169925001;8,422064766;10,93884446;8,523561956;7,357552005;1
9,192292814;11,27961058;9,777715589;10,10983065;7,209453366;11,10525378;12,09572667;11,37558251;8,97441459;1
9,098032083;8,214319121;9,021590768;8,665335917;4,807354922;9,967226259;10,55937709;10,28655776;7,912889336;1
11,86108691;10,49285462;11,7897211;11,78586111;7,787902559;13,00579996;12,60663654;13,21522963;10,95855272;1
11,74945047;10,05934446;11,15488138;10,90162116;7,312882955;12,27117119;12,32558655;12,78402132;6,700439718;1
10,20212382;8,607330314;6,654349609;5,584962501;4,523561956;8,233619677;10,6329952;8,569855608;6,857980995;1
11,4807902;10,81057163;12,21185788;13,03548645;9,310612782;13,74241471;11,53867395;12,12412131;13,25665098;1
10,12799432;11,86069903;5,930027641;5,491853096;2,807354922;8,199672345;12,61861492;7,894817763;5,247927513;1
10,17617315;12,44527356;10,85195981;10,18611424;4,247927513;12,05765334;11,41415668;13,16553514;12,07280253;1
8,948367232;12,87248251;9,380352832;7,845490051;3,906890596;11,09605624;12,91942202;11,93258387;10,69783636;1
8,303780748;7,77478706;9,281535984;8,991521846;5,781359714;10,56224242;9,77148947;10,04712391;9,339850003;1
8,247927513;9,741466986;9,271369647;10,67154107;9,071462363;13,24064229;11,14465824;8,169925001;8,599912842;1
5,129283017;6,882643049;5,773205157;5,584962501;2,321928095;7,357552005;9,83447105;7,276124405;6;1
9,749869427;9,189824559;10,48590979;11,03411115;7,813781191;12,29088282;9,581200582;11,12928302;8,344295908;1
8,511752654;10,74903138;7,283366213;7,257387843;2,584962501;8,804131021;11,15608308;9,505811554;8,400879436;1
10,94178124;11,92999806;7,999549087;7,845490051;3,807354922;9,906890596;12,58965115;10,27961058;5,285402219;1
8,912889336;10,21188829;8,86993308;7,982993575;5,169925001;12,05392588;11,3858624;10,53624722;9,09011242;1
9,052568051;9,084808388;8,177768334;7,483815777;2,807354922;9,368506462;10,24079133;9,900866808;8,64385619;1
9,224001674;11,13506795;6,685940148;5,781359714;3,584962501;7,768184325;12,06810648;8,13442632;6,584962501;1
6,475733431;9,620219826;7,52089364;7,339850003;4,087462841;10,11894107;10,86882255;8,438791853;8,400879436;1
5,977279923;7,686500527;6,691952843;4,459431619;-3,321928095;8,144658243;11,60408986;8,447083226;5,614709844;1
11,38316426;14,77468412;7,362557556;5,321928095;0;9,095397023;13,39593572;10,30035256;8,491853096;1
11,45994385;12,92925841;6,383185866;4,321928095;1,584962501;8,13442632;13,3223507;8,816983623;8,082149041;1
10,66088727;10,86495992;7,967572118;8,108524457;3;9,221587121;10,18239435;8,891783703;8,781359714;1
9,647458426;10,29691621;5,362820526;5,95419631;3,584962501;7,159871337;11,41256985;5,807354922;5,285402219;1
10,23720996;10,30833903;10,03499149;9,144658243;4,807354922;12,03754695;12,88988417;12,30492167;11,20701432;1
11,19844504;11,59105477;9,993745114;11,10263189;7,62935662;11,63707766;13,54230642;11,25915477;9,854868383;1
9,471675214;11,11374217;8,128664587;8,044394119;3,807354922;10,28771238;11,51717725;9,77807713;8,434628228;1
10,99152185;6,409390936;9,050039081;9,560332834;5,087462841;9,084808388;11,25561875;9,552669098;6,087462841;1
11,94434603;10,58025857;9,998294245;10,28540222;7,044394119;11,55074679;12,1049263;11,62707784;10,66444728;1
9,100662339;8,335390355;7,854058003;8,618385502;5,044394119;9,64385619;10,10459875;8,060695932;8,299208018;1
