ARG1;AZU1;CD177;CEACAM8;CTSG;DEFA4;ELANE;LCN2;MCEMP1;MMP8;OLFM4;Group
9,252665432;4,95419631;11,42626475;8,468461132;5,523561956;7,442943496;3,584962501;9,960001932;12,10131915;10,77148947;8,499845887;1
10,66711154;7,820178962;10,11113567;11,08605659;9,364134655;11,45943162;7,686500527;12,24287637;10,89557528;11,86997933;11,01402047;1
11,48532619;4,523561956;12,28944258;8,529664802;5,882643049;8,330916878;4,247927513;10,44397954;12,45891921;10,45943162;5,357552005;1
7,539158811;4,247927513;8,154818109;6,838195439;6,614709844;7,994353437;4;8,28077077;10,00702727;8,361943774;5,95419631;1
9,955649908;-3,321928095;14,32811389;6,298475035;2,584962501;4,584962501;2;7,531381461;14,37211686;9,632995197;8,405141463;1
10,30833903;7,285402219;9,544964433;11,1045791;9,136991112;11,40832974;6,882643049;12,40992124;10,54012804;11,78135971;9,647458426;1
8,696967526;4;6,807354922;8,381283373;6,189824559;8,46760555;3,321928095;9,523561956;10,66799854;9,744833837;8,6794801;1
5,087462841;1;8,224001674;6,208868371;4,169925001;4,247927513;0;7,894817763;9,35974956;7,238404739;5,129283017;1
7,994353437;2;4,392317423;7,185172775;5,906890596;6,781359714;2,321928095;8,906890596;11,46964182;9,312882955;5,426264755;1
10,01402047;6,539158811;7,721099189;10,22134544;9,063395081;10,76901132;6,442943496;10,81458247;10,62021983;11,19537221;9,136991112;1
8,960001932;6,409390936;8,531381461;9,843135911;8,326429487;9,599912842;6,459431619;10,99081308;10,44397954;10,97154355;9,891783703;1
9,569855608;6,768184325;8,909893084;10,52339533;9,116343961;9,905387005;6,64385619;11,81778312;11,87113518;11,85642553;10,96866679;1
11,56128795;1;9,992938336;7,279471296;6,714245518;7,17990909;3,169925001;8,422064766;10,93884446;8,523561956;7,357552005;1
9,192292814;7,303780748;11,27961058;9,777715589;8,744833837;10,10983065;7,209453366;11,10525378;12,09572667;11,37558251;8,97441459;1
9,098032083;4,754887502;8,214319121;9,021590768;7,62935662;8,665335917;4,807354922;9,967226259;10,55937709;10,28655776;7,912889336;1
11,86108691;7,787902559;10,49285462;11,7897211;10,34872815;11,78586111;7,787902559;13,00579996;12,60663654;13,21522963;10,95855272;1
11,74945047;6,169925001;10,05934446;11,15488138;9,243173983;10,90162116;7,312882955;12,27117119;12,32558655;12,78402132;6,700439718;1
10,20212382;1,584962501;8,607330314;6,654349609;3;5,584962501;4,523561956;8,233619677;10,6329952;8,569855608;6,857980995;1
11,4807902;8,495855027;10,81057163;12,21185788;10,84392105;13,03548645;9,310612782;13,74241471;11,53867395;12,12412131;13,25665098;1
10,12799432;1;11,86069903;5,930027641;4,392317423;5,491853096;2,807354922;8,199672345;12,61861492;7,894817763;5,247927513;1
10,17617315;3,807354922;12,44527356;10,85195981;6,807354922;10,18611424;4,247927513;12,05765334;11,41415668;13,16553514;12,07280253;1
8,948367232;3,459431619;12,87248251;9,380352832;6,129283017;7,845490051;3,906890596;11,09605624;12,91942202;11,93258387;10,69783636;1
8,303780748;6,266786541;7,77478706;9,281535984;7,64385619;8,991521846;5,781359714;10,56224242;9,77148947;10,04712391;9,339850003;1
8,247927513;9,353146825;9,741466986;9,271369647;8,861086906;10,67154107;9,071462363;13,24064229;11,14465824;8,169925001;8,599912842;1
5,129283017;0;6,882643049;5,773205157;3,459431619;5,584962501;2,321928095;7,357552005;9,83447105;7,276124405;6;1
9,749869427;7,988684687;9,189824559;10,48590979;10,25738784;11,03411115;7,813781191;12,29088282;9,581200582;11,12928302;8,344295908;1
8,511752654;1;10,74903138;7,283366213;6;7,257387843;2,584962501;8,804131021;11,15608308;9,505811554;8,400879436;1
10,94178124;2,807354922;11,92999806;7,999549087;6,965784285;7,845490051;3,807354922;9,906890596;12,58965115;10,27961058;5,285402219;1
8,912889336;4,95419631;10,21188829;8,86993308;5,169925001;7,982993575;5,169925001;12,05392588;11,3858624;10,53624722;9,09011242;1
9,052568051;3,906890596;9,084808388;8,177768334;6,686500527;7,483815777;2,807354922;9,368506462;10,24079133;9,900866808;8,64385619;1
9,224001674;1;11,13506795;6,685940148;4,169925001;5,781359714;3,584962501;7,768184325;12,06810648;8,13442632;6,584962501;1
6,475733431;4,169925001;9,620219826;7,52089364;5,727920455;7,339850003;4,087462841;10,11894107;10,86882255;8,438791853;8,400879436;1
5,977279923;1,584962501;7,686500527;6,691952843;2,807354922;4,459431619;-3,321928095;8,144658243;11,60408986;8,447083226;5,614709844;1
11,38316426;0;14,77468412;7,362557556;2,584962501;5,321928095;0;9,095397023;13,39593572;10,30035256;8,491853096;1
11,45994385;1;12,92925841;6,383185866;3,169925001;4,321928095;1,584962501;8,13442632;13,3223507;8,816983623;8,082149041;1
10,66088727;2,321928095;10,86495992;7,967572118;6,599912842;8,108524457;3;9,221587121;10,18239435;8,891783703;8,781359714;1
9,647458426;1,584962501;10,29691621;5,362820526;4,584962501;5,95419631;3,584962501;7,159871337;11,41256985;5,807354922;5,285402219;1
10,23720996;4,807354922;10,30833903;10,03499149;7,392317423;9,144658243;4,807354922;12,03754695;12,88988417;12,30492167;11,20701432;1
11,19844504;6,965784285;11,59105477;9,993745114;8,930737338;11,10263189;7,62935662;11,63707766;13,54230642;11,25915477;9,854868383;1
9,471675214;4,169925001;11,11374217;8,128664587;6,64385619;8,044394119;3,807354922;10,28771238;11,51717725;9,77807713;8,434628228;1
10,99152185;4,700439718;6,409390936;9,050039081;8,060695932;9,560332834;5,087462841;9,084808388;11,25561875;9,552669098;6,087462841;1
11,94434603;7,321928095;10,58025857;9,998294245;8,997179481;10,28540222;7,044394119;11,55074679;12,1049263;11,62707784;10,66444728;1
9,100662339;5,087462841;8,335390355;7,854058003;7,303780748;8,618385502;5,044394119;9,64385619;10,10459875;8,060695932;8,299208018;1
7,076815597;3,169925001;8,17990909;4,604071324;3,906890596;5,321928095;2,584962501;8,339850003;9,627533884;4,169925001;3,584962501;1
9,768184325;5,169925001;10,67154107;8,257623558;6,375039431;8,022367813;4,087462841;9,087462841;12,2511865;9,744833837;8,108524457;1
4,906890596;4,95419631;4,700439718;6,251719093;4,754887502;6,614709844;4,392317423;8,994353437;9,583082768;4,169925001;6,108524457;1
13,16128937;11,4604559;13,63537804;12,4652858;11,52356196;13,17148958;11,24138736;14,67942512;12,76051205;12,18518517;12,61539974;1
11,6956633;7,375039431;13,83683936;10,84931908;9,862637358;11,03204573;8,184875343;13,38140776;13,24540415;11,46403515;11,80332392;1
13,93728186;4,169925001;18,0733257;9,487076288;8,330916878;8,554588852;6,209453366;14,36118989;15,02851045;16,345076;14,45153311;1
11,91737208;6,50779464;16,56507232;9,458898707;8,164906927;9,558420713;6,129283017;11,27204652;13,88331152;12,12734954;10,666224;1
14,13097269;8,199672345;12,53600432;13,18881135;11,53915881;13,75520055;8,434628228;14,05477388;12,82296909;15,90656182;9,703903573;2
13,53867395;6,50779464;13,76518248;9,979453777;7,707359132;10,30263892;5,781359714;10,15987134;13,76373108;12,50804233;9,079484784;2
13,44449729;11,37340896;13,48003281;14,10720236;12,39740724;14,12799432;11,60408986;15,47005508;12,89254282;14,84387199;15,12116924;2
13,58320032;5,95419631;12,98299357;12,3144388;7,857980995;10,43567026;6,044394119;12,64250303;13,43097517;15,25488099;12,99841414;2
13,94068065;4,321928095;14,38039342;8,892633883;5,584962501;7,21916852;4;10,05663772;12,8637991;11,42153891;8,888743249;2
13,74861218;4,523561956;14,36427147;9,899749645;7,994353437;9,696967526;3,584962501;10,30492167;13,15450169;12,10623576;8,816983623;2
13,72206038;6,700439718;10,14082977;10,48072962;8,906890596;10,70563239;6,882643049;11,197831;11,09275714;11,65508345;11,64385619;2
14,14664822;2,807354922;12,93663794;8,743790954;5,523561956;7,499845887;3,700439718;9,826548487;13,92444139;10,60362634;9,605479518;2
12,7534257;7,442943496;13,5028318;12,54820781;10,15101654;12,27873983;7,658211483;13,42508474;13,27990072;14,34858985;13,074476;2
12,37802385;6,06608919;11,35480034;11,05894553;9,461479447;11,51766939;6,491853096;11,88607758;13,56057167;13,06002035;13,50270751;2
13,58531468;5,491853096;13,472437;9,602810194;8,335390355;10,04028972;5,727920455;10,57553925;12,49835061;10,65731845;11,74693414;2
12,215533;9,818582177;12,89803448;13,54591288;12,34124082;13,50940389;9,791162889;15,02993422;12,2708793;15,45622606;15,59843058;2
11,63344937;4,169925001;10,4325419;7,750271516;6,285402219;7,936637939;3,584962501;8,707359132;11,81378119;8,499845887;8,174925683;2
10,68211676;7,21916852;12,99911918;12,08882136;10,13185696;10,97656412;7,622051819;12,99788513;13,17850925;14,32656993;12,76942464;2
14,0877943;3,906890596;13,64193884;8,302547539;6,62935662;8,791162889;5,247927513;9,681238412;12,89784546;9,746514321;9,992938336;2
14,28077077;5,754887502;11,34706766;8,477434484;6,781359714;9,152284842;5,129283017;10,24792751;13,21689739;9,571752644;8,290018847;2
14,22686372;4,247927513;12,02928723;9,260237414;6,977279923;8,569855608;4,807354922;10,24198315;12,54375685;11,52894242;10,01122726;2
13,13330279;5,554588852;12,99028128;11,07568638;8,199672345;11,01820018;6,700439718;12,66799854;13,31174832;13,78790256;12,26824957;2
12,8181827;8,888743249;11,18920683;11,00266033;10,49785184;11,7809498;8,761551232;12,58894882;11,65597786;12,25591375;11,86805085;2
12,99293834;1,584962501;13,34609815;6,403097262;5,700439718;7,539158811;4,321928095;8,758223215;13,30677374;9,299208018;7,832890014;2
13,48997336;8,596189756;14,15260174;11,39320273;10,66977089;12,60084211;9,095397023;13,33119688;13,2904509;12,28655776;13,54121764;2
14,07598046;4,857980995;14,51982051;9,882474929;7,614709844;9,485829309;6;10,41785251;13,07162995;12,5719896;9,920352855;2
14,55764319;6,022367813;15,24373185;9,022783915;6,714245518;8,658211483;5,832890014;11,06810648;14,14617088;10,61194694;6,475733431;2
9,54689446;7,108524457;13,74819285;10,86567915;10,61562964;11,41256985;7,721099189;12,48205163;13,58461024;12,47167521;9,082149041;2
12,66111003;7,22881869;14,41989436;11,86091625;9,324180547;11,60501645;7,303780748;14,72616493;14,2070906;13,94553528;11,36303963;2
11,69174352;3,169925001;12,13602985;9,234458209;6,714245518;8,252665432;3,906890596;9,873444113;12,50531536;11,40247917;9,758223215;2
6,491853096;-3,321928095;14,36221782;6,817495353;3,459431619;5,357552005;1;8,375039431;12,67970001;8,787902559;8,77478706;2
10,76570049;2,584962501;10,00140819;6,504143652;5,700439718;6,95419631;3;7,906890596;12,69501074;7,129283017;7,321928095;2
11,36959735;0;11,5863707;9,02306125;4,700439718;7,400879436;2,584962501;9,915879379;12,83368075;11,16239133;7,199672345;2
11,70735913;10,50878516;14,30063855;12,91484291;12,21856324;13,38100211;10,27612441;15,09650928;13,32333629;12,86882255;14,1491914;2
9,022367813;9,675957033;9,695228291;10,50759645;11,00702727;12,08480839;9,756556323;13,80846148;11,95891516;10,20579325;10,38801729;2
13,28337779;9,157346935;13,56176526;11,34882772;12,01262454;12,46938744;9,840777924;15,25114951;12,76258967;12,80856203;12,43175875;2
14,41170958;5,247927513;13,94068065;11,76565491;7,787902559;10,71080643;6,599912842;13,32979634;12,56462586;12,83071326;13,30748545;2
12,59455788;8,87036472;11,1842555;11,73164996;10,96144969;12,30292446;9,328674927;13,10246786;13,49360531;12,95564991;11,86727874;2
11,56795608;2,584962501;10,57648435;8,706046995;6,614709844;7,813781191;2,584962501;10,04848687;13,05579081;11,21249639;10,41045135;2
11,5372184;5,754887502;13,88579169;9,798569004;7,813781191;9,865733271;5,781359714;10,80251637;12,40912571;11,22339841;10,80896417;2
11,46913302;5,700439718;13,81638371;8,732642309;6,044394119;8,348728154;5,584962501;11,357552;12,59595674;10,23840474;8,339850003;2
12,53746109;11,89102419;14,25340433;12,51624173;13,34235251;14,54230642;12,0617087;15,47895917;13,78176951;12,80150629;14,21644274;2
14,64340528;7,434628228;14,52882035;13,68476834;9,722807531;11,66666784;7,87036472;15,11178774;13,41402451;15,26466251;15,52585722;2
12,17804233;8,654636029;14,53746109;12,35169844;11,57317378;12,36686859;9,319672121;13,85262704;12,86244364;14,69832485;14,05061393;2
15,31167737;1,584962501;16,48370558;9,346225609;5,426264755;7,539158811;3,321928095;14,58912443;15,65779294;17,0917866;15,4132643;2
13,08746284;4,584962501;12,85681455;10,39733237;6,754887502;9,531381461;5,491853096;12,18611424;13,08480839;12,69326914;10,95492329;2
10,68825031;6,87036472;14,41673157;10,29723728;10,2179577;10,99010396;8,303780748;12,62707784;14,49316745;12,47750532;11,52209107;2
10,81618368;3,321928095;11,74609438;4,160274831;3,906890596;5,614709844;4,64385619;7,339850003;12,32755264;4,087462841;4,321928095;2
9,419960178;6,129283017;7,839203788;9,637095776;8,703903573;10,09934781;5,832890014;9,991521846;10,79360331;10,05392588;9,539158811;2
11,63026713;9,83447105;10,85330956;12,37539517;12,06877828;12,95365083;9,754887502;13,16128937;13,19844504;13,27248399;13,6079082;2
12,8583696;3,807354922;12,20670915;6,026800059;3,459431619;5,392317423;5,807354922;9,513727596;13,56236169;8,74819285;7,139551352;2
13,19290922;6,303780748;15,1126024;8,145116978;8,108524457;9,471675214;6,918863237;10,11113567;14,27815903;9,688250309;9,087462841;2
12,93147623;4,087462841;13,82714419;6,869254527;4,64385619;7,330916878;4,523561956;10,38694025;14,11545012;7,033423002;5,95419631;2
10,07547915;8,124121312;7,754887502;11,65081391;10,15481811;11,71381608;7,948367232;13,48268193;11,25797706;11,5863707;12,50332886;2
