Gene Symbol	ABCA1	CCL2	CCL20	CCL22	CCL4	CCL7	CCRL2	CD274	CD44	CD83	CEACAM1	CEACAM6	CEACAM8	CHI3L1	CLEC5A	CXCL1	CXCL16	CXCL2	CXCL3	CXCL8	DOCK4	EDN1	EGR1	EGR3	EREG	F3	FFAR2	FURIN	GYPA	GYPB	HBEGF	ICAM1	IFNG	IL10	IL1A	IL1B	IL1R1	IL1RAP	IL1RN	IL6	MMP1	MPP1	NFKB1	NLRP3	NR4A3	OSM	RAB13	RIPK2	SDC2	SEMA6B	SLC7A5	SPHK1	SUCNR1	THBS1	TNF	TREM1	TRIB1	ABCA13	ACOD1	ADGRG3	ANXA3	AREG	ARG1	AZU1	BPI	C3AR1	CAMP	CD177	CD55	CD63	CDK1	CDKN1A	CRISP3	CTSG	CYSTM1	DEFA4	ELANE	FCAR	FOSL1	GPR84	HBD	HBM	HBQ1	INAVA	LCN2	LGALS3	LRG1	LTF	MCEMP1	MGAM	MMP8	MMP9	MPO	OLFM4	OLR1	PDE4B	PGLYRP1	PLAU	PLAUR	PPIF	PTGS2	PTX3	RETN	RNASE3	S100P	SERPINB10	SLC2A3	SLC7A11	SLPI	SNCA	SOD2	TCN1	TNFAIP3	TNFAIP6	ZC3H12A
COVID19	11,32474	2	3,70044	2,807355	9,432542	0	7,768184	8,854868	13,43788	8,139551	10,11114	7,90689	8,379378	11,65329	8,629356	9,044394	9,562243	2,584963	3,906891	12,7243	8,665336	3,70044	9,350939	5,285402	5,426265	2,807355	12,84392	11,49735	1,584962	4,247928	5,285402	10,44087	6,442944	5,087463	0	10,9629	8,84549	9,392318	11,68563	3,584963	4	11,48784	11,28193	9,908393	3,906891	8,076816	7,276124	9,144658	5,882643	1,584962	8,839204	7,044394	7,467606	10,53528	8,599913	12,52772	11,25621	6,066089	0	11,91849	10,24436	3,70044	8,696967	4	9,40088	10,02514	10,15735	6,807355	12,18766	12,50358	8,434628	10,55171	8,820179	6,189825	9,449148	8,467606	3,321928	11,39071	4,392317	6,066089	8,011228	5,285402	2,584963	3,807355	9,523562	10,58402	10,89936	11,27321	10,668	13,15434	9,744834	11,67507	7,960002	8,679481	6,78136	11,32305	8,417852	5,807355	11,14338	11,27496	11,80292	6,754888	7,851749	8,164907	11,62753	7,285402	13,56296	5,83289	10,3696	9,776433	15,16703	8,071463	11,17867	10,36304	8,816983
COVID19	10	0	4,321928	2	7,266787	0	6,83289	9,052568	13,57152	6,228819	11,90689	12,42993	13,18874	11,7121	10,89936	8,303781	11,17617	2,321928	3,70044	8,885696	8,658212	4,754888	11,17368	4,169925	5,087463	2	11,75697	11,76984	6,554589	5,882643	4,70044	9,398744	2	6,189825	0	10,65464	10,61471	12,40301	10,78872	0	6,754888	11,9737	11,10263	9,710807	2	9,079485	9,665336	9,095397	5,554589	3,807355	6,768184	5,285402	8,936638	10,09408	7,238405	13,56177	12,13089	11,04712	0	13,38721	13,96226	6,584962	14,13097	8,199673	13,76808	12,37884	13,79228	12,536	14,09044	13,32882	9,095397	9,353147	12,47091	11,53916	12,56534	13,7552	8,434628	13,19553	4,247928	9,047124	11,56796	3,321928	3,169925	6,37504	14,05477	11,00773	12,48834	16,10284	12,82297	14,50041	15,90656	13,40341	12,79948	9,703903	10,65015	10,74231	11,60223	8,092757	10,98797	9,839204	11,94618	9,987264	11,1453	12,04985	11,87728	10,87344	14,27438	6,357552	12,63889	10,24317	15,62174	12,55219	11,21189	11,70434	8,654636
COVID19	8,909893	0	3	1,584962	7,622052	0	6,882643	9,396605	13,52234	5,044394	11,10525	9,01959	9,98014	9,333156	8,430452	7	10,67507	2	1,584962	7,948367	7,475733	3,70044	7,672425	3	4,523562	1,584962	12,21766	12,77602	0	0	4,954196	9,717676	2,321928	5,459432	0	8,885696	12,42101	11,67154	11,72366	4	2,584963	12,08115	10,83684	10,51471	2,584963	9,011228	9,098032	8,33985	1	5,83289	9,202124	5,459432	6,629356	11,02791	5,247928	12,5243	11,72664	8,546894	0	13,30649	13,18503	4,523562	13,53867	6,507795	9,85331	13,02549	8,903882	13,76518	13,30464	12,99612	8,658212	10,0634	9,590587	7,707359	11,27496	10,30264	5,78136	12,32305	3,321928	7,257388	7,330917	4,392317	2,584963	5,392317	10,15987	10,30492	13,00018	12,51052	13,76373	15,20682	12,50804	13,1827	9,643856	9,079485	5,930737	9,816983	9,675957	4,584962	10,52062	9,851749	8,40088	7,139551	8,33985	7,942514	13,30235	7,228819	14,77494	6,044394	10,65105	8,994353	14,84377	9,566054	11,23482	11,26209	8,8009
COVID19	11,65687	1,584962	3	2,807355	8,573647	0	8,290019	9,224002	12,59596	7,238405	12,42312	13,54762	14,10722	13,14243	10,35425	8,957102	11,03686	3,169925	4,523562	10,28309	9,124122	4,857981	10,72877	6,149747	4,584962	3	12,91719	12,60015	3,459432	3,169925	5,129283	10,49286	3,906891	5,209454	0	10,15228	11,54834	11,17493	12,13923	0	6	12,26649	11,07948	9,857981	1,584962	9,409391	10,29806	8,754888	5,459432	4,584962	8,285402	7,149747	8,611025	11,24139	6,392317	13,26591	11,8396	11,7789	1	13,38168	14,07915	7,189825	13,4445	11,37341	14,08464	11,81778	13,35204	13,48003	13,42666	14,03265	8,945444	10,51274	12,5411	12,39741	12,41917	14,12799	11,60409	12,46557	4,954196	9,388018	8,915879	4,087463	4	6,754888	15,47005	11,60779	12,96596	16,59438	12,89254	14,04097	14,84387	14,29978	13,60929	15,12117	10,25385	10,75906	13,23137	8,28077	11,50283	11,47826	10,70044	10,33539	12,4543	11,58731	13,45994	11,81458	14,24228	6,066089	12,35452	9,368506	15,88322	13,39634	12,16899	11,64791	9,905387
COVID19	11,29519	5,70044	1,584962	2,584963	10,34319	0	7,622052	9,515699	13,96705	9,751544	9,764872	6,303781	6,209454	9,216746	7,499846	9,055283	10,29232	3,584963	4,087463	14,23287	8,344296	5	12,49561	10,91513	4,523562	2,584963	12,61218	10,85798	0	2,321928	8,08215	10,68475	6,442944	5,044394	0	11,12928	8,491853	10,13571	11,29519	3,70044	4,643856	10,97585	11,44708	10,04439	4,321928	8,426265	7,179909	9,398744	6,599913	0	7,988685	6,988685	6,584962	9,266787	9,121533	11,83447	11,53382	4,169925	0	10,97728	9,698705	4,857981	5,087463	1	5,61471	11,31741	7,294621	8,224002	11,87383	12,16271	8,744834	10,59339	5,70044	4,169925	9,014021	4,247928	0	11,23721	5,044394	4,807355	6,894818	2	2,807355	3,321928	7,894818	10,81057	10,10722	8,764872	9,35975	11,98549	7,238405	8,204571	5,882643	5,129283	4,392317	11,78627	5,584962	4,169925	10,73132	11,63708	14,08123	7,228819	7,67948	8,33539	6,189825	5,78136	13,59269	5,807355	10,86959	9,226412	15,24388	6,954196	11,67066	10,14848	8,888743
COVID19	11,86573	0	3,584963	3	9,741467	0	7,531382	10,40301	13,23586	6,228819	11,61655	10,58214	12,3143	10,95056	9,991522	9,294621	10,99365	3,459432	5,087463	10,67243	8,016809	3,321928	9,008429	4,643856	6,33985	2,321928	11,71853	12,22611	4,954196	2,584963	5,044394	10,05121	3,584963	6,569856	0	9,773139	11,65642	10,89102	11,7364	1	2,321928	12,13218	11,00211	9,812178	2	8,467606	9,590587	8,731319	3	3	6,965784	5,554589	7,546895	12,43957	5,70044	12,67904	12,50084	10,35975	0	12,87728	13,23691	8,550747	13,5832	5,954196	11,42522	13,05833	11,06542	12,98299	13,22671	13,25695	7,982994	8,848623	11,41733	7,857981	11,56272	10,43567	6,044394	12,69827	4,321928	8,06609	8,189824	2,321928	3,169925	5,321928	12,6425	10,68036	12,26356	14,90275	13,43097	15,37375	15,25488	12,63118	9,884171	12,99841	9,238404	10,22641	10,61563	6,714245	10,59059	10,09935	10,74231	9,714246	9,749869	9,118941	12,94526	9,789534	14,73873	6,820179	11,84784	8,939579	15,88033	11,63345	12,05968	10,90011	9,199673
COVID19	12,50358	5,491853	2	2	9,243174	0	8,134426	11,14466	13,63742	8,816983	11,11114	8,164907	7,189825	10,69784	8,159871	9,537218	10,64746	5,087463	2,807355	13,77674	9,457381	4,584962	13,23766	9,828136	4,523562	3,584963	13,89102	10,9737	0	0	6,988685	11,27729	6,33985	5,523562	1	12,42233	8,321928	10,38046	12,62182	3,321928	3	11,45994	11,27088	10,17493	3,169925	9,816983	7,727921	9,861087	4,459432	1,584962	7,658212	6,409391	6,857981	8,83605	8,751544	13,15276	11,97799	5,247928	3	11,99081	11,7657	4,169925	7,994353	2	7,714245	10,633	8,724514	4,392317	12,79523	13,05884	8,658212	11,09474	7,129283	5,90689	10,2703	6,78136	2,321928	11,79035	4,807355	7,357552	3,459432	2	0	4,169925	8,906891	11,04439	11,75405	10,03205	11,46964	12,19599	9,312883	8,797662	6,894818	5,426265	5,169925	11,66933	6,228819	6,794416	11,19106	11,90952	13,83259	6,870365	5,97728	7,451211	11,14211	7,276124	14,1174	6,599913	11,35755	9,041659	16,002	7,754888	11,55746	11,7752	8,888743
COVID19	12,17368	0	1,584962	2,584963	7,531382	0	8,379378	10,40408	13,34665	5,357552	10,74567	8,366323	8,891784	10,66534	9,426265	8,994353	11,89254	2,584963	2,807355	12,20762	10,41257	5,754888	7,285402	6,918863	4,169925	3,321928	13,06272	12,32418	2,321928	3,169925	4,392317	11,22882	3,807355	4,643856	0	10,35535	12,58801	11,44657	11,83723	0	4,087463	12,31572	11,02929	9,645658	3	9,689998	7,686501	8,622052	4,643856	2,321928	7,686501	6,149747	7,426265	10,33316	6,357552	14,02427	12,96993	7,5157	0	13,77602	12,93369	5,321928	13,94068	4,321928	9,890265	14,27365	9,53333	14,38039	14,32348	13,00387	7,665336	9,700439	8,098032	5,584962	11,8933	7,219169	4	13,20579	3,807355	7,483816	7,73471	2	1,584962	3,807355	10,05664	9,729621	12,57625	11,39232	12,8638	15,90047	11,42154	12,55483	7,636625	8,888743	6,228819	11,62114	8,744834	7,294621	11,3526	10,84862	13,16066	6,870365	8,33539	7,794416	13,04678	6,741467	15,41558	7,434628	11,85409	9,02514	16,13895	9,036174	13,15133	12,06609	9,315149
COVID19	10,85565	0	1	3,321928	7,199672	0	6,768184	9,56415	13,46531	5,523562	10,38046	9,022367	9,899357	10,54978	9,791162	9,403012	11,29692	0	3	12,50159	9,014021	3,459432	11,15798	7,247928	3,584963	3,584963	12,3312	12,3614	5,554589	4,90689	4,90689	9,900867	2,807355	5,426265	1	10,29347	11,37123	12,01924	11,48583	1,584962	5,857981	12,38424	10,88874	11,27612	2,584963	10,33874	8,459432	8,330916	4,247928	3	7,118941	6,087463	8,033423	11,13827	7,483816	13,64836	12,83051	8,214319	0	13,46633	13,00282	6,149747	13,74861	4,523562	10,79685	13,21826	10,70736	14,36427	14,37116	12,6027	6,475733	10,01123	8,588715	7,994353	11,99294	9,696967	3,584963	13,02271	4	7,011227	10,47573	4,321928	2	3,906891	10,30492	9,594325	12,50631	12,44553	13,1545	15,89214	12,10624	12,3715	9,027906	8,816983	7,294621	10,08614	9,273795	7,330917	11,28019	9,247928	13,15814	7,294621	7,238405	8,285402	12,83348	7,383704	14,80428	7,794416	12,00738	10,80171	15,72864	9,560333	11,24079	10,56224	8,430452
COVID19	11,67463	3	1	3	10,15861	0	7,924812	7,942514	14,16946	8,558421	10,04029	10,01681	10,22159	11,66	8,774787	9,187352	10,85487	3,584963	4,087463	12,73005	9,209454	4,321928	13,06643	8,823367	5,97728	3,70044	12,24526	11,51225	0	2,321928	7,658212	10,63027	6,189825	4,954196	0	10,93369	9,638436	10,11374	11,63209	2	4,321928	11,91886	11,43775	10,92407	3,169925	8,879583	8,503826	9,804131	6,686501	3,321928	8,060696	7,60733	7,622052	10,35535	8,204571	12,83979	11,94471	8,651052	1	11,75322	11,37558	4,754888	10,01402	6,539159	10,42941	11,74567	10,71682	7,721099	12,80171	12,83368	8,290019	10,85565	9,379378	9,063396	10,05121	10,76901	6,442944	11,54303	4,321928	6,149747	6,727921	2,807355	0	4,169925	10,81458	11,43202	10,76653	12,84588	10,62022	13,55351	11,19537	9,815383	10,2131	9,136992	7,912889	11,22641	8,569856	6	11,1267	11,06945	13,50221	6,807355	7,636625	9,445015	9,674192	7,523562	14,03411	5,97728	9,884171	10,33762	15,56712	9,52943	10,85798	9,981567	8,405142
