Gene Symbol	ABCA1	CCL2	CCL20	CCL22	CCL4	CCL7	CCRL2	CD274	CD44	CD83	CEACAM1	CEACAM6	CEACAM8	CHI3L1	CLEC5A	CXCL1	CXCL16	CXCL2	CXCL3	CXCL8	DOCK4	EDN1	EGR1	EGR3	EREG	F3	FFAR2	FURIN	GYPA	GYPB	HBEGF	ICAM1	IFNG	IL10	IL1A	IL1B	IL1R1	IL1RAP	IL1RN	IL6	MMP1	MPP1	NFKB1	NLRP3	NR4A3	OSM	RAB13	RIPK2	SDC2	SEMA6B	SLC7A5	SPHK1	SUCNR1	THBS1	TNF	TREM1	TRIB1	ABCA13	ACOD1	ADGRG3	ANXA3	AREG	ARG1	AZU1	BPI	C3AR1	CAMP	CD177	CD55	CD63	CDK1	CDKN1A	CRISP3	CTSG	CYSTM1	DEFA4	ELANE	FCAR	FOSL1	GPR84	HBD	HBM	HBQ1	INAVA	LCN2	LGALS3	LRG1	LTF	MCEMP1	MGAM	MMP8	MMP9	MPO	OLFM4	OLR1	PDE4B	PGLYRP1	PLAU	PLAUR	PPIF	PTGS2	PTX3	RETN	RNASE3	S100P	SERPINB10	SLC2A3	SLC7A11	SLPI	SNCA	SOD2	TCN1	TNFAIP3	TNFAIP6	ZC3H12A
COVID19	10,50879	1	1,584962	2,584963	9,049849	0	7,33985	9,513727	13,08614	6,870365	10,02375	9,187352	9,843921	12,18982	8,40088	10,3072	10,76487	3,459432	2,584963	13,2169	9,079485	2,807355	12,22641	5,90689	4,90689	2,807355	12,91308	11,71253	0	1	5	10,41257	6,459432	4,523562	0	11,27146	9,33985	10,04712	11,37992	1,584962	4,90689	11,42941	10,94544	10,3072	3,459432	9,149747	7,658212	9,005625	4,857981	3,169925	7,84549	6,087463	6,965784	9,079485	8,810572	12,76777	10,98797	8,022367	1	12,71939	11,69653	2	8,960002	6,409391	10,27496	10,46761	11,58543	8,531382	12,59433	12,40168	7,629356	9,813781	9,914385	8,326429	10,26209	9,599913	6,459432	11,77931	1	6,409391	6,554589	2,584963	1,584962	4,169925	10,99081	10,6027	11,23062	12,93811	10,44398	13,76787	10,97154	11,84353	9,461479	9,891784	8	11,36413	9,501837	6,409391	11,32811	10,99506	12,67816	6,70044	9,247928	8,049849	12,63504	7,562243	13,58789	6,066089	9,952742	8,566054	15,7506	9,179909	10,55746	10,87958	8,731319
COVID19	11,37884	4,807355	1,584962	2	9,136992	0	8,61471	8,507794	13,88274	8,727921	10,86341	9,850187	10,52356	10,43359	9,679481	10,3253	11,31515	4,459432	4,247928	13,92379	9,342074	4,754888	10,71853	9,285402	5,247928	4,087463	12,98175	11,95238	5,754888	5,554589	7,672425	10,84078	5,357552	5,169925	0	11,04781	9,899357	10,5708	12,17274	2,321928	3,459432	11,97943	11,17118	10,75154	2,321928	10,47776	8,83289	9,271463	6,584962	4,754888	8,149747	7,483816	7,546895	9,390169	8,826549	13,96858	12,33929	8,455327	1	12,39044	11,68475	3,321928	9,569856	6,768184	11,29405	10,90162	12,2237	8,909893	12,96885	13,33329	7,523562	10,6987	9,918863	9,116343	10,59619	9,905387	6,643856	11,79928	4,321928	7,098032	11,51619	2	4,169925	4,523562	11,81778	11,7364	11,66578	13,56748	11,87113	13,67474	11,85643	11,79157	9,888743	10,96867	8,430452	11,43097	10,01262	6,741467	11,96687	11,38856	14,62702	7,577429	8,764872	9,379378	13,50792	7,294621	14,56594	5,754888	10,96362	10,54882	16,01816	9,782998	10,70563	10,83368	8,543032
COVID19	11,87613	2	1	3,584963	9,204571	0	7,857981	7,577429	13,91092	7,918863	10,79685	7,467606	7,276124	12,00106	8,693487	9,997179	11,0348	4,70044	2,584963	12,88912	9,231221	4,90689	11,55842	7,247928	5,392317	3,321928	12,4916	10,86959	1	0	6,149747	10,48281	6,442944	6,285402	1	11,39017	10,17243	10,45018	11,81618	2,807355	2,321928	11,60779	11,19044	10,41469	1	7,857981	7,599913	9,741467	7,257388	2,584963	6,459432	5,426265	6,741467	9,722808	8,47978	13,58014	11,59152	5,285402	1,584962	12,14625	11,0607	4	11,56129	1	8,797662	11,52356	8,867279	9,992938	13,52417	12,78054	7,247928	9,826549	8,375039	6,714245	9,871905	7,179909	3,169925	11,91326	3,459432	5,97728	4,857981	0	0	3,584963	8,422065	11,10787	10,74651	9,851749	10,93884	14,44009	8,523562	11,97118	7,658212	7,357552	5,357552	11,76487	8,455327	5,857981	11,32643	11,23482	13,62856	6,794416	6,37504	7,813781	13,3903	5,83289	14,12299	6,507795	11,8392	8,764872	15,99941	8,405142	11,0348	10,22762	7,954196
COVID19	12,4996	2	2,584963	2,321928	9,611025	0	7,087463	9,471675	12,49461	5,857981	10,22762	10,26913	10,48079	10,21917	7,954196	9,394463	12,43697	2,584963	4,70044	10,50084	10,12928	5,129283	12,39259	5,426265	4,643856	2,321928	13,04046	11,88988	3	2	3,70044	10,80332	4,754888	5,857981	1	12,07213	11,94435	12,06777	12,11407	0	4,459432	11,39232	11,06945	9,273795	2,807355	9,556506	7,820179	9,071463	7,409391	1,584962	7,366322	6,066089	6,584962	8,724514	7,807355	14,33595	11,33371	8,658212	0	13,24407	12,23721	4,954196	13,72206	6,70044	10,96362	12,39794	11,01472	10,14083	14,0079	12,90068	7,199672	8,405142	8,968667	8,906891	11,05664	10,70563	6,882643	11,96217	3	6,870365	5,90689	1	1	4	11,19783	9,442944	12,66222	13,07012	11,09276	14,83699	11,65508	12,14211	9,914385	11,64386	7,954196	11,5157	9,975848	6,321928	11,69	11,15735	12,44837	7,599913	7,839204	9,693487	13,26927	7,643856	13,94508	6,37504	12,66178	8,438792	16,53523	9,62022	11,75363	12,39527	8,974415
COVID19	12,53284	3,807355	4,247928	3,321928	8,573647	0	7,459432	10,67684	13,74115	6,78136	10,32418	7,839204	8,744834	10,48583	8,679481	9,292321	11,04303	1,584962	2,321928	10,75989	9,162392	5,459432	12,24763	6,569856	3,807355	2	13,4123	12,512	1,584962	2,321928	4,584962	10,56605	5,857981	5,97728	2,807355	11,81097	12,46352	12,16365	13,13507	0	0	12,64611	11,37069	11,68124	2,321928	10,37829	7,820179	8,771489	5,169925	3	7	5,357552	6,022368	10,21067	7,807355	14,44223	12,12509	7,055283	0	13,21917	14,21227	5,285402	14,14665	2,807355	8,353147	14,0022	9,296916	12,93664	14,71575	13,17867	6,426265	9,73471	8,924812	5,523562	12,25591	7,499846	3,70044	13,50022	2,807355	8,038919	6,658212	3,906891	1,584962	2,584963	9,826549	9,888743	13,03755	11,04303	13,92444	15,57967	10,60363	13,09918	7,129283	9,605479	5,97728	10,59246	9,330916	5,954196	11,34873	10,91139	11,83487	7,348728	6,754888	7,118941	11,67816	6,70044	15,74633	6,870365	11,85526	9,385862	16,71474	8,84549	12,26121	13,44618	9,330916
COVID19	11,84706	0	2,584963	1	7,383704	0	7,076816	8,60733	13,34013	5,491853	11,26503	11,93037	12,5481	11,87037	9,353147	7,894818	11,56177	1	1,584962	10,36304	9,071463	3,807355	10,05528	6,022368	3,70044	2,584963	12,61241	11,30207	5,459432	4,523562	4,523562	10,2131	2	4,247928	0	10,36741	11,58355	11,4671	12,06171	0	1,584962	12,00106	10,66267	9,489848	1,584962	8,921841	9,255029	9,475734	4,70044	2,321928	5,83289	2,807355	8,632996	9,56415	6,857981	13,77437	11,55555	10,07682	0	12,74882	14,13907	5,97728	12,75343	7,442944	12,67926	10,26913	10,97298	13,50283	14,13178	13,56296	9,113742	8,647458	11,31798	10,15102	12,63163	12,27874	7,658212	13,12024	3	8,238404	9,411511	1,584962	0	4,643856	13,42509	10,88874	12,38478	13,49573	13,2799	14,70271	14,34859	12,12186	11,58543	13,07448	9,333156	10,44812	10,54978	6,303781	10,54978	9,634811	11,32362	9,465567	10,23482	11,65464	13,87843	11,21856	14,85929	5,97728	12,53309	8,599913	16,25108	12,57294	11,21796	11,00562	8,071463
COVID19	11,33371	1	1	3,169925	8,33985	0	7,312883	11,87575	14,04363	6,129283	10,95783	10,27729	11,05867	11,40035	9,027906	11,0286	11,90652	4,954196	3,321928	13,14816	9,17742	4	12,09573	8,290019	6,965784	3,321928	13,3497	11,95674	5,426265	5,044394	5,61471	10,34873	2,584963	5,754888	0	12,14498	11,23002	11,61884	12,85116	2	5,491853	12,54303	11,50383	10,19967	2,584963	10,69436	8,661778	9,090113	2,584963	4,459432	6,066089	5,727921	7,417852	9,463525	6,554589	14,04695	12,86225	8,558421	0	13,40115	14,08804	6,209454	12,37802	6,066089	10,50283	12,61079	11,75196	11,3548	13,98922	13,79198	6,918863	8,97728	10,36523	9,461479	12,54061	11,51767	6,491853	13,21766	2,584963	7,888743	10,16491	1	2	4,321928	11,88608	10,39874	12,3899	13,36167	13,56057	14,70601	13,06002	12,25326	9,771489	13,50271	8,219169	10,70044	10,49685	7,219169	11,30948	10,64024	13,24049	8,219169	9,868822	10,59152	13,28309	8,625709	15,37076	6,37504	12,29548	9,891784	16,51598	10,39017	10,67772	11,99223	8,366323
COVID19	12,15703	0	2,584963	3,169925	10,65464	0	6,523562	9,903882	13,00738	6,087463	9,749869	9,121533	9,603626	10,08746	7,266787	10,3966	11,40886	2,321928	1,584962	11,66178	9,299208	4	11,12606	8,700439	4,247928	2,321928	12,84588	12,44553	1,584962	2,321928	4,954196	10,65642	3	5,209454	0	11,83249	12,19168	11,64836	12,52601	0	4	11,77108	11,11439	10,30834	2,584963	10,2503	7,807355	8,632996	5,882643	3,807355	6,90689	6,554589	6,442944	10,93811	7,787902	14,06592	12,55938	8,038919	0	13,58108	12,95092	5,61471	13,58531	5,491853	9,684749	12,55914	9,357552	13,47244	13,60906	13,30449	6,894818	8,897845	8,679481	8,33539	12,01646	10,04029	5,727921	12,78607	3	6,965784	5,357552	1	1,584962	3,169925	10,57554	10,06743	12,50705	11,87537	12,49835	14,9656	10,65732	12,23811	9,057992	11,74693	6,658212	10,88035	9,715962	6,149747	11,664	11,15924	13,81778	6,988685	8,011228	8,317412	14,11699	6,475733	14,73217	6,539159	13,12509	8,164907	16,52777	9,209454	12,18239	11,32643	9,546894
COVID19	11,33762	2	0	2,321928	8,791162	0	7,330917	8,826549	13,58344	8,044394	12,42206	12,70196	13,54593	12,84882	10,71081	9,60733	10,71081	2,807355	2,584963	11,68475	8,33985	3,70044	10,0634	4,459432	6,087463	3,584963	12,86399	12,06272	2	1	5,285402	10,56701	5,882643	4,523562	0	10,92481	9,773139	9,828136	11,81338	1,584962	4,087463	11,78504	11,47371	10,24911	2,321928	8,721099	10,18488	9,144658	3	4,392317	8,204571	7,857981	8,566054	9,909893	8,519636	12,2906	11,15608	11,07347	1	13,00352	13,59805	3,70044	12,21553	9,818583	14,26393	11,26562	15,34183	12,89803	12,72067	13,47611	9,142107	10,30834	12,87075	12,34124	11,71339	13,5094	9,791162	12,042	2,807355	9,157347	6,686501	1	0	5,554589	15,02993	11,42522	11,91849	17,20904	12,27088	13,68179	15,45623	12,6819	13,36413	15,59843	11,56367	11,18053	11,97083	8,262094	11,53722	11,54061	11,51865	9,912889	11,36468	11,77232	13,56141	10,66	14,06609	5,727921	12,07514	8,962896	15,91062	13,10296	10,50581	9,596189	9,124122
COVID19	11,56224	4,392317	3,169925	3,321928	9,052568	0	6,988685	9,698705	13,16601	6,754888	10,49885	7,459432	7,748193	11,56177	7,108524	10,80332	10,64115	4,087463	4,169925	12,83566	8,741467	3,807355	12,12606	8,262094	5,392317	2,584963	13,0348	11,77232	0	0	5,584962	10,6193	5,554589	5,882643	1	11,68956	11,6497	11,24198	12,26209	2	3,70044	11,5377	10,94837	9,674192	2	9,894817	7,774787	9,194757	4,90689	3,70044	6,870365	5,930737	4,643856	11,10525	8	13,90708	12,32165	5,727921	1,584962	13,47332	12,59666	4,392317	11,63345	4,169925	7,714245	12,43801	8,710807	10,43254	13,03187	12,45712	6,321928	9,577429	6,894818	6,285402	10,66534	7,936638	3,584963	12,27205	3	5,554589	4,523562	0	0	3,459432	8,707359	9,712527	12,32362	9,705632	11,81378	14,57377	8,499846	10,49685	7,531382	8,174926	5,321928	11,54061	8,764872	6,33985	11,44139	11,12089	13,85681	6,247928	6,988685	8,011228	13,64183	5,554589	14,32896	6,022368	10,98868	8,625709	16,17301	7,303781	11,24377	11,26209	8,810572
COVID19	11,75447	1	0	3	9,315149	0	6,741467	10,73047	14,19814	6,90689	12,24615	11,11374	12,08879	11,91364	9,935165	9,709084	12,39767	3,169925	3,906891	12,80796	9,854868	4	10,39232	7,129283	5,78136	3,459432	13,59386	12,2009	5,70044	4	7,066089	11,47269	4,90689	5	1,584962	10,68036	11,29175	11,60687	12,38316	0	4,247928	12,54448	11,3443	12,2972	3,169925	9,631177	9,461479	9,667111	3,906891	4,459432	8,149747	6,882643	7,442944	9	7,055283	13,79685	13,4507	9,521601	0	13,05274	13,87133	5,930737	10,68212	7,219169	12,72131	10,81218	12,11927	12,99912	13,83249	13,21341	8,636624	9,824959	10,82814	10,13186	11,85058	10,97656	7,622052	12,46301	4,857981	8,271463	9,366323	3,584963	2,584963	5,169925	12,99788	10,74483	12,71853	15,20029	13,17851	15,04942	14,32657	12,17024	11,30606	12,76942	9,839204	11,80776	10,68738	7,584962	11,2662	11,1855	12,17086	8,915879	10,19845	11,97907	13,75833	9,207014	15,26748	6,988685	12,47877	9,611025	16,71718	11,57223	12,13025	11,07815	9,113742
COVID19	10,90764	2,321928	2,321928	3	7,321928	0	7,044394	10,19476	13,27961	5,70044	10,84941	8,672425	8,303781	9,761551	7,139551	10,16992	11,25385	3,321928	3,807355	11,89444	9,812178	6,266787	10,47269	7,129283	4,459432	3,459432	13,5073	12,1889	0	0	6,741467	10,73471	2,584963	4,807355	0	11,06542	12,36851	12,11146	12,88493	0	5,321928	12,28482	11,54013	11,55075	2,807355	10,30264	7,592457	9,348728	4,754888	4,459432	7,546895	6,37504	5,321928	9,751544	5,285402	14,50041	13,0954	6,686501	1	13,72856	13,85019	5,584962	14,08779	3,906891	9,221587	9,695229	9,695229	13,64194	13,79574	13,01332	6,988685	9,142107	8,33985	6,629356	11,73894	8,791162	5,247928	12,80595	4,392317	7,266787	6,066089	0	0	2,807355	9,681238	9,667111	13,1743	10,72451	12,89785	15,03849	9,746514	11,98442	7,954196	9,992938	5,285402	10,59712	9,315149	5,491853	11,00492	11,07414	12,79259	6,33985	6,584962	6,672425	10,87421	6,954196	15,02743	7,483816	12,0563	8,774787	16,69866	8,409391	12,60107	10,91214	9,471675
COVID19	11,09011	1	2,807355	2,584963	7,179909	0	7,741467	8,011228	13,16349	5,392317	8,791162	7,930737	8,475734	7,247928	7	9,296916	11,80735	3,459432	3,807355	10,57743	8,83605	4,754888	10,09276	5,209454	3,321928	0	12,74945	12,67132	2,321928	0	4,584962	10,13827	2,321928	5,90689	0	9,873445	10,90463	10,88264	11,72707	1	4,169925	12,36167	10,1267	10,46557	2,321928	10,2703	8,960002	8,022367	5,247928	5,584962	7,266787	7,219169	5,321928	11,31345	6,33985	13,5227	12,20274	5,754888	0	13,71703	13,00387	5,285402	14,28077	5,754888	6,686501	12,34291	9,047124	11,34707	13,85389	14,04993	6,807355	9,629356	8,813781	6,78136	11,90049	9,152285	5,129283	11,87421	2,584963	6,686501	6,475733	4,087463	4	2,321928	10,24793	10,31288	13,34983	11,1768	13,2169	14,36939	9,571753	12,88169	8,055283	8,290019	5	9,749869	10,00843	4,954196	10,68387	10,89785	10,25385	6,539159	7,942514	8,519636	13,39727	6,714245	14,67358	5,857981	10,93737	9,328675	15,72694	8,515699	11,17055	11,37721	8,179909
COVID19	10,51175	0	2,584963	3,459432	8,643856	0	6,266787	6,266787	13,70898	7,098032	9,826549	8,299208	9,259744	10,61839	8,299208	8,539159	11,22822	4,807355	2,807355	10,30035	8,038919	4,643856	9,649256	7,199672	5,83289	3	12,15133	11,51076	5,357552	5,491853	5,857981	9,236014	4,169925	5,83289	0	9,216746	11,17118	12,01716	11,0921	2	5,392317	12,26766	10,76736	10,30948	2	9,409391	8,675957	8,717676	4,954196	3,459432	7,665336	6,108524	6,022368	11,97799	6,357552	13,74914	13,01803	7,285402	1	13,25665	13,17882	7,61471	14,22686	4,247928	8,353147	12,48859	8,771489	12,02929	14,2906	12,99647	7,90689	10,19722	9,385862	6,97728	11,99294	8,569856	4,807355	12,77211	3,906891	6	10,58496	5,285402	3,906891	3,321928	10,24198	11,16742	11,88912	11,80574	12,54376	14,53637	11,52894	12,39553	8,071463	10,01123	5,857981	10,41045	8,707359	5	10,12283	9,951284	12,54448	7,426265	7,994353	8,784635	12,82297	6,599913	14,94791	6,169925	10,29921	11,5377	15,66478	9,693487	11,24258	10,43775	8,214319
COVID19	11,04029	0	0	2	8,357552	1,584962	7,727921	11,41521	14,14951	5,727921	12,95583	9,851749	11,07548	10,38046	9,411511	8,189824	11,23542	1,584962	3	10,87882	10,224	4,169925	10,69436	8,06609	4,584962	2,584963	14,05511	12,00773	7,247928	6,426265	6,459432	11,43411	2	4,857981	0	11,12218	10,53722	11,60779	13,27365	1	2,321928	12,2906	11,14466	10,68738	2	9,746514	8,303781	9,839204	3,807355	5,169925	7,707359	7,366322	7,087463	10,4168	7,257388	12,75864	12,44579	8,900867	4	12,8792	13,7933	7,813781	13,1333	5,554589	11,23062	12,73153	10,73556	12,99028	13,65486	12,76155	8,417852	9,818583	12,17243	8,199673	11,65508	11,0182	6,70044	12,58002	5,129283	9,375039	11,06205	4,523562	1,584962	3,584963	12,668	10,02652	12,67794	14,15916	13,31175	14,24005	13,7879	12,31543	9,455327	12,26825	8,47978	11,20579	10,51865	5,044394	9,870365	9,985842	11,18797	8,442944	9,799282	8,675957	12,01472	8,839204	14,95169	5,491853	12,28858	9,717676	16,49642	11,19967	12,21705	12,95019	8,721099
COVID19	10,2396	2,807355	5,426265	3,906891	7,794416	2,321928	7,61471	4,954196	12,96253	11,17118	9,202124	9,554589	11,00282	11,2402	8,092757	9,052568	12,99365	6,629356	4,807355	14,64633	7,813781	8,055283	8,754888	7,37504	10,17118	3,169925	10,783	12,98638	2,807355	0	12,44035	13,38788	5,087463	10,43359	0	5,97728	11,87882	12,1564	10,66711	3,584963	7,189825	12,10362	10,63209	13,02237	9,33539	11,13378	9,691744	11,19353	8,463525	8,864186	11,11634	7,554589	7,294621	16,16865	5,523562	14,98045	13,04798	10,19845	0	14,28135	12,16459	13,1317	12,81818	8,888743	12,52967	8,383704	11,09803	11,18921	13,62867	14,0518	7,707359	12,02375	10,50581	10,49785	11,6248	11,78095	8,761551	13,22762	6,285402	7,499846	8,539159	3,321928	4,321928	4,247928	12,58895	11,12348	12,86167	14,69441	11,65598	13,56248	12,25591	12,48709	12,00176	11,86805	6,022368	13,26971	9,930737	10,01542	13,45469	12,24911	9,885696	8,507794	10,07948	10,96	13,50903	8,098032	14,64211	6,044394	10,75739	10,68738	15,04836	10,87958	15,06356	8,392318	10,81778
COVID19	11,74273	5,61471	1,584962	2	8,405142	0	8,379378	8,787903	13,06086	6,629356	10,94105	8,971543	9,778077	11,30378	9,396605	8,348728	10,15861	3,459432	4,90689	10,68825	8,317412	4	8,861087	3,169925	5	2,807355	13,34582	12,11927	2,807355	1	4,954196	10,66178	4,247928	4,70044	0	10,81057	9,049849	8,813781	12,18488	2,807355	5,044394	12,18611	11,05053	9,912889	3	7,960002	8,73471	8,78136	4,643856	4,459432	8,707359	8,294621	7,475733	10,97513	7,61471	12,05325	11,22762	7,330917	3,459432	12,69087	11,69043	4,169925	9,192293	7,303781	9,831307	12,6819	11,8792	11,27961	11,96	13,13009	7,90689	10,97226	9,546894	8,744834	10,40408	10,10983	7,209454	11,39017	5	7,554589	8,06609	4,087463	3,459432	4,459432	11,10525	10,76901	11,88188	13,25901	12,09573	13,3143	11,37558	12,54182	10,12412	8,974415	6,894818	10,81218	9,623881	7,294621	11,85253	11,51076	10,21675	7,584962	10,56224	8,357552	12,48306	7,159871	13,9211	6,523562	11,56653	10,02375	15,44621	9,189824	10,93148	11,05867	9,228819
COVID19	11,77561	4,584962	1,584962	2,807355	10,3837	0	7,199672	8,942514	13,21234	8,294621	10,27845	8,434628	9,022367	11,22822	8,422065	11,60038	10,60918	3,807355	3	15,25996	9,333156	4	13,92444	10,51471	5,087463	2,807355	13,19676	11,357	4,754888	6,321928	7,266787	10,67066	4,807355	5,247928	0	12,10427	10,18735	11,43202	11,66711	0	2,807355	11,65374	10,90539	10,20579	2	10,6193	7,876517	9,396605	7,707359	2,807355	7,219169	5,129283	6,33985	9,537218	8,154819	13,63356	12,53649	7,294621	1	12,31146	11,25444	5,209454	9,098032	4,754888	9,658212	10,01542	10,07548	8,214319	12,6407	12,20823	6,894818	9,753217	9,28077	7,629356	10,16867	8,665336	4,807355	11,39285	3,459432	5,247928	11,75154	5,129283	4,392317	2,321928	9,967226	10,86805	11,31288	12,02963	10,55938	13,81458	10,28656	10,07012	8,257388	7,912889	7,257388	11,7936	8,422065	5,357552	10,93664	11,35975	15,71312	6,61471	6,965784	5,857981	9,638436	7,312883	13,39874	6,303781	10,50879	11,91812	16,41889	8,503826	10,78709	9,670656	8,366323
COVID19	12,23452	3,321928	1	3,459432	10,22521	0	8	11,80252	14,11244	7,894818	11,39285	10,87575	11,78953	12,07146	9,375039	11,12024	11,60363	4,70044	4,523562	13,96362	10,66711	4,459432	10,82972	8,071463	4,90689	4,459432	14,24904	12,59269	5,321928	5,426265	5,087463	11,32249	5,807355	5,459432	0	12,32136	11,09737	11,86109	13,20884	3,459432	6,066089	12,62251	11,79969	11,95891	2,807355	10,47269	8,933691	10,27612	5,83289	4,643856	9,40088	6,83289	8,134426	10,29692	8,823367	14,52809	12,96308	9,333156	3,169925	13,36126	13,33985	6,087463	11,86109	7,787902	11,64791	13,20549	12,97764	10,49286	14,23594	13,93655	9,647458	11,10263	11,68431	10,34873	11,64476	11,78586	7,787902	12,91905	4	8,164907	10,07414	3,70044	3	5	13,0058	11,19291	13,06743	14,83205	12,60664	14,7688	13,21523	13,23751	11,10591	10,95855	8,861087	12,37558	10,5216	8,47978	12,19075	12,26033	14,33204	9,157347	9,83605	10,25385	13,56831	9,668885	15,12234	7,84549	13,02063	10,35204	17,18759	11,23661	12,11537	12,40806	9,702172
COVID19	10,46761	3	1	1,584962	8,632996	1,584962	7,312883	9,505812	12,86844	6,426265	11,13057	10,41045	11,15482	10,80816	9,255029	8,027906	11,28077	3	3,584963	9,537218	8,885696	4,169925	8,276124	4,087463	3,807355	2,321928	13,07765	11,07682	3,169925	3	4,247928	10,39874	5,129283	6,33985	0	11,39874	9,515699	9,105908	12,10918	0	4,523562	11,62571	10,98513	9,245553	1	7,658212	8,060696	8,945444	7,707359	4,321928	6,97728	6,149747	6,61471	9,714246	7,807355	13,31104	10,7657	8,06609	3,169925	12,71231	12,48331	3,169925	11,74945	6,169925	11,13121	12,62411	12,23601	10,05934	12,84294	13,1926	7,108524	10,09408	10,79442	9,243174	10,76984	10,90162	7,312883	11,66489	3,70044	7,539159	8,442944	2,807355	2	4,392317	12,27117	10,43045	11,86573	14,33839	12,32559	13,85077	12,78402	11,96109	10,27961	6,70044	8,413628	10,83526	10,40727	6,727921	11,45789	11,32249	10,45943	7,864186	9,55267	9,424167	13,66022	9,355351	14,20174	5,954196	12,90332	9,47978	15,86457	9,911392	10,72451	10,33204	8,491853
COVID19	11,76487	2,807355	0	1,584962	8,164907	0	6,022368	8,087462	12,40806	6,066089	8,519636	6,442944	6,658212	8,682995	7,219169	9,098032	9,992938	2,321928	3	11,83051	9,008429	2,321928	9,688251	5,044394	4,247928	0	12,31911	10,50184	0	0	4,169925	10,04439	4,857981	3,906891	0	11,34041	9,052568	9,749869	11,41838	0	4,459432	11,27845	10,26209	9,503826	0	8,430452	6,930737	8,247928	6,266787	0	5,78136	4,247928	4,459432	9,079485	7,076816	12,80957	10,73471	4,523562	1	11,49536	11,99329	3,459432	10,20212	1,584962	6,741467	10,54786	8,573647	8,60733	12,00317	12,03514	5,61471	8,463525	7,357552	3	10,2396	5,584962	4,523562	10,89406	1,584962	6,33985	4,321928	0	0	3	8,23362	9,361944	11,16742	9,749869	10,633	13,16648	8,569856	9,299208	5,426265	6,857981	4,90689	10,4315	8,011228	5,61471	10,17243	10,6591	12,68058	6	6,169925	6,022368	11,20823	4,321928	13,6177	5,61471	11,17055	8,060696	15,27671	6,629356	10,2384	10,34096	8,060696
COVID19	11,66622	0	1,584962	2,584963	7,523562	0	7,70044	11,11634	13,13731	6,169925	9,964341	6,303781	6,409391	10,20701	6,882643	10,30492	12,25355	4,169925	2,321928	10,99435	8,629356	3,807355	12,38424	9,882643	4,954196	3	13,12703	11,89444	2	0	5	10,86959	4,087463	5,70044	1	12,56463	11,59526	10,95347	12,43957	0	4,087463	11,12993	10,63027	9,902375	0	11,45327	6,870365	7,988685	4,247928	4	6,820179	5,807355	4,247928	9,292321	7,900867	13,86699	12,83348	4,087463	0	13,19322	13,21584	7	12,99294	1,584962	6,426265	12,07448	8,531382	13,3461	13,49773	13,05325	6,768184	9,134426	6,97728	5,70044	12,01367	7,539159	4,321928	12,06542	3,459432	6,894818	6,33985	1,584962	2	1,584962	8,758224	9,33539	13,08098	9,668885	13,30677	13,3614	9,299208	10,87958	6,228819	7,83289	3,906891	10,69262	9,172427	5,554589	10,87267	10,92852	13,52748	6,754888	6,714245	6,599913	12,59269	5,392317	14,6356	5,247928	13,16726	8,611025	16,47104	7,451211	11,90011	12,18982	9,442944
COVID19	10,91513	0	1,584962	2	6,189825	0	6,569856	8,661778	13,24154	5,554589	10,77066	11,00983	11,39339	11,07815	8,370687	7,73471	12,20518	5,247928	4,392317	9,052568	8,717676	4,321928	9,982993	5,209454	4,584962	1,584962	12,4507	12,06811	5,459432	4,392317	6,247928	10,65642	2,321928	5,930737	0	9,204571	11,25857	10,87728	11,37286	0	7,294621	12,23482	10,21675	10,05121	2,321928	9,888743	8,957102	8,804131	4,754888	5,459432	8,139551	6,714245	7,011227	10,86031	5,754888	12,94471	11,2738	8,679481	1,584962	13,35494	12,97298	7,219169	13,48997	8,596189	11,27496	10,47167	10,97083	14,1526	13,98353	13,78351	8,851749	9,636624	10,84156	10,66977	11,84392	12,60084	9,095397	11,81137	3,70044	8,08215	11,05393	5,321928	5,321928	3,70044	13,3312	10,68563	13,60073	14,01933	13,29045	14,00035	12,28656	13,5852	10,8895	13,54122	8,209454	10,36523	11,03549	6,149747	10,51471	9,918863	8,848623	8,539159	11,73047	10,94544	13,98842	10,21432	14,75775	5,321928	11,12928	10,8857	15,47171	11,45224	10,33762	11,42626	7,924812
COVID19	12,09803	3,321928	3	3	8,640244	0	6,768184	10,91364	13,52906	5,169925	10,75238	9,346514	9,882643	9,695229	8,164907	8,471675	10,53722	4,807355	3,584963	10,17867	9,308339	5,584962	10,01681	5,357552	6,988685	2,584963	13,20121	11,91476	4,459432	2,807355	4,643856	10,32193	4,643856	6,686501	0	10,17617	12,33846	11,32249	12,15735	0	3,169925	12,06844	11,00422	10,42626	3,584963	8,84235	8,375039	8,83605	5,169925	2,584963	7,888743	6,459432	6,285402	11,93111	6,33985	12,99541	12,42259	8,483816	0	13,60502	13,53102	7,971544	14,07598	4,857981	9,388018	13,3305	9,01959	14,51982	13,65855	13,00246	8,262094	9,42836	9,569856	7,61471	11,46506	9,485829	6	12,86361	4,459432	8,149747	7,584962	0	0	4,247928	10,41785	9,992938	12,08978	12,66578	13,07163	15,20568	12,57199	12,93111	9,28077	9,920353	6,459432	10,42312	9,375039	6,247928	10,89482	10,11764	10,90914	8,247928	8,098032	7,011227	13,81928	6,78136	14,96628	6,988685	11,69	8,651052	15,99932	9,459432	11,99577	12,37938	9,485829
